형태소,품사,남녀,카운트
"
",Foreign,여,2
!,Punctuation,남,744
!,Punctuation,여,451
!!,Punctuation,남,24
!!!,Punctuation,남,3
!!!!,Punctuation,남,3
!!!!!,Punctuation,남,1
"!""",Punctuation,남,3
!',Punctuation,남,1
!),Punctuation,남,179
!),Punctuation,여,65
!>,Punctuation,남,1
"""",Punctuation,남,19
"""",Punctuation,여,24
$,Punctuation,남,2
"$,",Punctuation,남,1
$.,Punctuation,남,1
&,Punctuation,남,104
&,Punctuation,여,56
',Punctuation,남,2090
',Punctuation,여,1137
'),Punctuation,남,2
(,Punctuation,남,2705
(,Punctuation,여,963
(&),Punctuation,여,1
(**,Punctuation,남,3
([,Punctuation,남,15
),Punctuation,남,2515
),Punctuation,여,823
"),",Punctuation,남,6
)/,Punctuation,여,4
)[,Punctuation,남,2
*,Punctuation,남,308
*,Punctuation,여,140
*(,Punctuation,남,6
**,Punctuation,남,114
**,Punctuation,여,50
**(,Punctuation,남,3
***,Punctuation,남,11
***,Punctuation,여,6
***(,Punctuation,남,2
****,Punctuation,남,2
*******,Punctuation,남,1
*[,Punctuation,남,17
+,Punctuation,남,7
",",Punctuation,남,2673
",",Punctuation,여,1199
",([",Punctuation,남,1
",)",Punctuation,남,3
",,",Punctuation,남,4
-,Punctuation,남,553
-,Punctuation,여,1022
-),Punctuation,남,4
-),Punctuation,여,7
--,Punctuation,여,6
----,Punctuation,여,2
-----,Punctuation,여,2
.,Foreign,남,1
.,Punctuation,남,1155
.,Punctuation,여,317
.(,Punctuation,여,1
.),Punctuation,남,3
.),Punctuation,여,16
..,Punctuation,남,104
..,Punctuation,여,22
"..""",Punctuation,남,1
..',Punctuation,남,1
..),Punctuation,여,1
...,Punctuation,남,62
...,Punctuation,여,16
....,Punctuation,남,5
....,Punctuation,여,2
.....,Punctuation,남,3
...?!,Punctuation,남,1
..?,Punctuation,남,1
..?,Punctuation,여,1
.?,Punctuation,남,1
/,Punctuation,남,10
/,Punctuation,여,4
0,Number,남,4
062-518,Number,남,1
1,Number,남,59
1,Number,여,69
1%,Number,남,1
1.2,Number,여,1
10,Number,남,5
10,Number,여,50
100,Number,남,3
100,Number,여,2
100%,Number,남,1
100%,Number,여,1
100000,Number,남,1
100일,Number,남,1
101,Number,남,1
10년,Number,남,3
10만원,Number,남,1
10분,Number,여,3
119,Number,남,5
11월,Number,남,4
12345,Number,여,4
12시,Number,남,2
12시,Number,여,1
12월,Number,남,1
12월,Number,여,4
13월,Number,남,7
14,Number,남,1
151,Number,남,2
16,Number,남,1
16,Number,여,3
17,Number,남,2
181,Number,남,1
19,Number,남,2
1:40,Number,여,1
1년,Number,남,16
1년,Number,여,3
1등,Number,남,3
1분,Number,남,5
1분,Number,여,2
1월,Number,남,1
1초,Number,남,5
1초,Number,여,1
2,Number,남,107
2,Number,여,103
2%,Number,여,1
2-2,Number,여,3
20,Number,남,6
2001,Number,남,1
2006,Number,남,1
2006년,Number,남,2
2007년,Number,남,1
2008,Number,남,1
2010,Number,여,1
2010년,Number,남,1
2011,Number,남,1
2015년,Number,여,1
21,Number,남,9
21,Number,여,2
22,Number,남,1
24,Number,남,4
24,Number,여,2
24/7,Number,남,20
24/7,Number,여,11
247,Number,남,10
248,Number,남,2
24시,Number,남,1
24시간,Number,남,4
24시간,Number,여,2
2년,Number,남,3
2분,Number,여,1
3,Number,남,33
3,Number,여,61
3-6,Number,남,13
3.4,Number,여,1
300,Number,남,1
30분,Number,여,1
34분,Number,여,1
365,Number,남,2
365,Number,여,4
3년,Number,남,2
3년,Number,여,1
3분,Number,남,2
3분,Number,여,1
3시,Number,여,1
4,Number,남,31
4,Number,여,37
400,Number,남,1
42.195,Number,남,1
4분,Number,남,2
4분,Number,여,2
4월,Number,남,1
4일,Number,남,1
5,Number,남,28
5,Number,여,17
50,Number,여,1
5분,Number,남,1
5일,Number,여,2
5천,Number,남,1
5천만,Number,남,1
6,Number,남,4
6,Number,여,16
6789,Number,여,4
6년,Number,남,2
6시,Number,남,2
6천,Number,남,1
7,Number,남,13
7,Number,여,7
70억,Number,남,3
75.5,Number,남,2
77억,Number,남,1
7년,Number,남,4
7시,Number,남,1
7천,Number,남,3
8,Number,남,4
8,Number,여,14
88,Number,여,1
8만,Number,남,1
8분,Number,여,1
8월,Number,남,1
9,Number,남,29
9,Number,여,14
90,Number,여,1
99,Number,남,1
9회,Number,남,3
:,Punctuation,남,131
:,Punctuation,여,9
<,Punctuation,남,7
<,Punctuation,여,5
=,Punctuation,남,4
=,Punctuation,여,1
>,Punctuation,남,26
>,Punctuation,여,5
?,Punctuation,남,567
?,Punctuation,여,343
?!,Punctuation,남,2
?!,Punctuation,여,1
"?""",Punctuation,남,1
"?""",Punctuation,여,3
?),Punctuation,남,31
?),Punctuation,여,24
?..,Punctuation,남,1
??,Punctuation,남,1
?’,Punctuation,남,1
A,Alpha,남,65
A,Alpha,여,119
ABC,Alpha,여,23
AHH,Alpha,여,8
AIRBAG,Alpha,남,1
ALL,Alpha,남,11
ALRIGHT,Alpha,남,1
AND,Alpha,남,2
AP,Alpha,남,2
AP,Alpha,여,1
ARMY,Alpha,남,2
AYE,Alpha,남,3
Aah,Alpha,남,2
Ability,Alpha,남,1
About,Alpha,남,3
About,Alpha,여,1
Ace,Alpha,남,2
Act,Alpha,여,2
Acting,Alpha,여,1
Action,Alpha,남,12
Action,Alpha,여,6
Addicted,Alpha,여,1
Adrenaline,Alpha,남,2
Afternoon,Alpha,여,14
Again,Alpha,여,3
Agust,Alpha,남,1
Ah,Alpha,남,124
Ah,Alpha,여,153
Aha,Alpha,남,1
Aha,Alpha,여,1
Ahh,Alpha,남,1
Ahh,Alpha,여,17
Ahhh,Alpha,남,1
Ahnana,Alpha,여,2
Ahora,Alpha,남,1
Ain,Alpha,남,5
Ain,Alpha,여,12
Air,Alpha,남,2
Akon,Alpha,여,1
Aladdin,Alpha,남,1
Alexander,Alpha,남,2
All,Alpha,남,223
All,Alpha,여,99
Alone,Alpha,여,1
Alright,Alpha,남,32
Alright,Alpha,여,26
Always,Alpha,남,12
Always,Alpha,여,5
Am,Alpha,남,11
Amazing,Alpha,여,1
America,Alpha,여,1
Amor,Alpha,남,3
An,Alpha,남,1
And,Alpha,남,95
And,Alpha,여,59
Andante,Alpha,남,1
Angel,Alpha,남,8
Angel,Alpha,여,1
Angry,Alpha,남,1
Another,Alpha,여,1
Anpan,Alpha,남,5
Anpanman,Alpha,남,18
Anybody,Alpha,남,1
Anybody,Alpha,여,18
Anything,Alpha,여,1
Anytime,Alpha,여,1
Anyway,Alpha,남,1
Aow,Alpha,남,1
Apology,Alpha,남,10
Appeal,Alpha,남,1
Are,Alpha,남,34
Are,Alpha,여,25
Arm,Alpha,남,1
Around,Alpha,여,1
Arrive,Alpha,남,2
Artificial,Alpha,남,20
Artist,Alpha,남,1
As,Alpha,남,2
As,Alpha,여,1
Ashton,Alpha,남,1
Asian,Alpha,남,1
At,Alpha,남,3
Athena,Alpha,여,1
Atta,Alpha,여,3
Attaboy,Alpha,여,3
Attack,Alpha,남,9
Attention,Alpha,여,1
Auto,Alpha,남,1
Automatic,Alpha,남,2
Automatic,Alpha,여,12
Awake,Alpha,남,1
Away,Alpha,여,7
Awe,Alpha,남,6
Awoooo,Alpha,남,1
Awouuuu,Alpha,남,6
Ay,Alpha,남,44
Aye,Alpha,남,2
Aye,Alpha,여,1
Ayo,Alpha,남,6
Ayo,Alpha,여,2
Ayy,Alpha,남,5
B,Alpha,남,26
B,Alpha,여,39
BA,Alpha,여,6
BAA,Alpha,남,2
BAAAM,Alpha,남,1
BABE,Alpha,남,10
BABY,Alpha,남,20
BABY,Alpha,여,31
BACK,Alpha,남,37
BACK,Alpha,여,3
BAND,Alpha,남,3
BANG,Alpha,남,32
BANGTAN,Alpha,남,1
BB,Alpha,여,2
BEEN,Alpha,남,1
BETTER,Alpha,남,2
BIG,Alpha,남,4
BIGBANG,Alpha,남,12
BING,Alpha,남,2
BLACKPINK,Alpha,여,7
BODY,Alpha,남,1
BODY,Alpha,여,2
BOOM,Alpha,남,5
BOOM,Alpha,여,12
BOOMBAYAH,Alpha,여,8
BOOMSHAKALAKA,Alpha,남,12
BOTTOM,Alpha,남,1
BPM,Alpha,남,1
BREATH,Alpha,남,1
BRING,Alpha,여,1
BRRR,Alpha,남,2
BRRRR,Alpha,남,3
BRRRRRR,Alpha,남,1
BRUTA,Alpha,남,1
BTS,Alpha,남,7
BUT,Alpha,남,2
BUT,Alpha,여,6
BYE,Alpha,남,1
BYE,Alpha,여,6
Ba,Alpha,여,13
Babe,Alpha,남,27
Babe,Alpha,여,3
Baboom,Alpha,남,12
Baby,Alpha,남,398
Baby,Alpha,여,284
Back,Alpha,남,19
Back,Alpha,여,78
Bacon,Alpha,남,1
Bad,Alpha,남,9
Bad,Alpha,여,25
Badadadadadadum,Alpha,여,1
Badda,Alpha,여,1
Bae,Alpha,여,4
Bake,Alpha,여,1
Ball,Alpha,남,1
Balloons,Alpha,남,1
Bam,Alpha,여,2
Bang,Alpha,남,20
Bang,Alpha,여,2
Banger,Alpha,남,7
Bap,Alpha,남,1
Base,Alpha,남,1
Basically,Alpha,남,1
Bass,Alpha,남,2
Bass,Alpha,여,1
Batman,Alpha,남,1
Be,Alpha,남,9
Be,Alpha,여,39
Beat,Alpha,남,5
Beat,Alpha,여,25
Beautiful,Alpha,남,72
Beautiful,Alpha,여,2
Beauty,Alpha,남,2
Because,Alpha,남,32
Because,Alpha,여,6
Been,Alpha,남,1
Been,Alpha,여,1
Beep,Alpha,여,2
Before,Alpha,남,1
Before,Alpha,여,2
Behind,Alpha,여,5
Believe,Alpha,남,2
Believe,Alpha,여,2
Believer,Alpha,여,7
Berry,Alpha,여,3
Best,Alpha,남,2
Best,Alpha,여,13
Bet,Alpha,여,3
Better,Alpha,남,7
Better,Alpha,여,5
Beyonce,Alpha,여,1
Bi,Alpha,남,1
Bibilly,Alpha,남,1
Big,Alpha,남,11
BigBang,Alpha,남,1
Bigbang,Alpha,남,1
Biggest,Alpha,남,1
Biggest,Alpha,여,1
Bighit,Alpha,남,2
Billboard,Alpha,남,1
Billboard,Alpha,여,1
Billie,Alpha,여,2
Billion,Alpha,여,1
Billis,Alpha,여,1
Bing,Alpha,남,1
Bingo,Alpha,남,8
Birthday,Alpha,여,1
Bla,Alpha,여,3
Black,Alpha,남,13
Black,Alpha,여,6
Blacked,Alpha,여,1
Blacken,Alpha,남,1
Blah,Alpha,남,5
Blah,Alpha,여,3
Blala,Alpha,남,1
Blanc,Alpha,남,1
Blanik,Alpha,여,1
Blast,Alpha,남,3
Bless,Alpha,남,1
Blindin,Alpha,남,7
Bling,Alpha,여,1
Blow,Alpha,남,13
Blow,Alpha,여,2
Blowin,Alpha,여,2
Blue,Alpha,여,4
BoA,Alpha,남,1
Bob,Alpha,여,9
Body,Alpha,남,8
Body,Alpha,여,6
Bold,Alpha,여,1
Bomb,Alpha,남,2
Bonnie,Alpha,여,1
Boo,Alpha,남,5
Boo,Alpha,여,29
Booh,Alpha,여,1
Boom,Alpha,남,74
Boom,Alpha,여,20
Boomerang,Alpha,남,8
Booming,Alpha,여,1
Boon,Alpha,남,2
Bop,Alpha,남,5
Born,Alpha,여,1
Bounce,Alpha,남,88
Bow,Alpha,남,9
Boxed,Alpha,남,1
Boxing,Alpha,남,1
Boy,Alpha,남,2
Boy,Alpha,여,116
Boyfriend,Alpha,여,22
Boys,Alpha,여,7
Brake,Alpha,남,1
Brand,Alpha,남,1
Brand,Alpha,여,5
Brazil,Alpha,남,2
Break,Alpha,남,28
Break,Alpha,여,10
Breakthrough,Alpha,여,6
Breathe,Alpha,남,11
Brew,Alpha,여,1
Bridge,Alpha,남,3
Bright,Alpha,남,1
Bring,Alpha,남,5
Bring,Alpha,여,64
Broken,Alpha,남,1
Brooch,Alpha,남,1
Broong,Alpha,남,2
Brother,Alpha,남,1
Brr,Alpha,남,23
Brrr,Alpha,남,1
Brrr,Alpha,여,1
Brrrr,Alpha,여,1
Brrrrr,Alpha,남,3
Brrrrrrata,Alpha,남,1
Brunch,Alpha,남,1
Bu,Alpha,남,3
Buddy,Alpha,남,4
Build,Alpha,남,5
Bullet,Alpha,남,2
Bulletproof,Alpha,남,4
Bum,Alpha,남,3
Bum,Alpha,여,5
Bump,Alpha,여,10
Bunny,Alpha,남,14
Buona,Alpha,남,1
Burn,Alpha,남,12
Burn,Alpha,여,7
Business,Alpha,남,1
Bust,Alpha,남,1
Busy,Alpha,남,1
But,Alpha,남,100
But,Alpha,여,55
Butterflies,Alpha,여,7
Butterfly,Alpha,남,10
By,Alpha,남,3
By,Alpha,여,5
Bye,Alpha,남,14
Bye,Alpha,여,5
C,Alpha,남,7
C,Alpha,여,20
CAN,Alpha,남,2
CAN,Alpha,여,1
CATCH,Alpha,남,1
CD,Alpha,남,2
CHAMPAGNE,Alpha,남,1
CHAMPAGNE,Alpha,여,2
CHANCE,Alpha,남,12
CHEER,Alpha,여,10
CHIC,Alpha,남,1
CL,Alpha,남,1
CL,Alpha,여,25
COME,Alpha,남,35
COME,Alpha,여,4
COMIN,Alpha,남,2
COMING,Alpha,남,1
COOL,Alpha,남,1
COUPS,Alpha,남,1
CRAZY,Alpha,남,1
CRY,Alpha,여,9
CUZ,Alpha,남,2
Caffeine,Alpha,남,1
Cake,Alpha,여,5
Calder,Alpha,남,1
Cali,Alpha,남,1
Call,Alpha,남,48
Call,Alpha,여,5
Calm,Alpha,남,1
Camera,Alpha,남,2
Camera,Alpha,여,1
Campfire,Alpha,여,13
Can,Alpha,남,92
Can,Alpha,여,45
Candle,Alpha,여,3
Candy,Alpha,여,16
Caramel,Alpha,남,4
Carat,Alpha,남,3
Cardi,Alpha,여,2
Careless,Alpha,남,3
Carrot,Alpha,남,1
Casa,Alpha,남,6
Cash,Alpha,남,10
Cassiopeia,Alpha,남,1
Cassius,Alpha,남,1
Catch,Alpha,남,12
Catch,Alpha,여,17
Caucasian,Alpha,남,1
Caught,Alpha,남,6
Cause,Alpha,남,62
Cause,Alpha,여,40
Chaeyoung,Alpha,여,6
Chal,Alpha,남,6
Champagne,Alpha,남,4
Champion,Alpha,여,2
Chance,Alpha,남,2
Chance,Alpha,여,4
Chances,Alpha,남,1
Chanel,Alpha,남,1
Change,Alpha,남,80
Change,Alpha,여,1
Chapter,Alpha,남,1
Charge,Alpha,여,1
Chase,Alpha,남,3
Chasing,Alpha,남,5
Chateau,Alpha,남,5
Check,Alpha,남,1
Check,Alpha,여,54
Checkin,Alpha,여,2
Cheer,Alpha,남,1
Chemistry,Alpha,여,1
Cherry,Alpha,남,1
Chic,Alpha,남,1
Chic,Alpha,여,1
Chill,Alpha,여,6
Chilli,Alpha,남,2
Chillin,Alpha,여,2
Chocolate,Alpha,남,2
Chocolate,Alpha,여,4
Chorus,Alpha,남,17
Chou,Alpha,남,3
Christ,Alpha,남,1
Christmas,Alpha,남,12
Christmas,Alpha,여,1
Chronic,Alpha,남,1
Circle,Alpha,남,12
Circle,Alpha,여,2
Circus,Alpha,남,1
City,Alpha,남,10
Clack,Alpha,여,1
Clap,Alpha,남,58
Clap,Alpha,여,5
Click,Alpha,남,11
Click,Alpha,여,1
Climax,Alpha,남,1
Clock,Alpha,남,5
Close,Alpha,남,4
Close,Alpha,여,7
Closer,Alpha,남,3
Closer,Alpha,여,3
Cloud,Alpha,남,1
Clover,Alpha,남,1
Clyde,Alpha,여,1
Co,Alpha,여,10
Coffee,Alpha,남,3
Coldest,Alpha,여,2
Cole,Alpha,남,1
Color,Alpha,여,1
Come,Alpha,남,83
Come,Alpha,여,97
Comeon,Alpha,남,1
Coming,Alpha,남,2
Commedes,Alpha,남,1
Como,Alpha,여,1
Connection,Alpha,여,1
Conquer,Alpha,여,1
Control,Alpha,여,3
Converse,Alpha,남,1
Cool,Alpha,남,13
Cool,Alpha,여,58
Cos,Alpha,남,5
Cosmic,Alpha,남,1
Could,Alpha,여,2
Count,Alpha,여,2
Countdown,Alpha,남,1
Coup,Alpha,남,1
Coups,Alpha,남,1
Cra,Alpha,여,1
Crash,Alpha,남,1
Crawl,Alpha,남,1
Crazy,Alpha,남,25
Crazy,Alpha,여,19
Cream,Alpha,남,4
Cream,Alpha,여,12
Created,Alpha,남,1
Creepin,Alpha,남,1
Creeping,Alpha,남,3
Criminal,Alpha,남,1
Cross,Alpha,남,2
Cruel,Alpha,남,1
Crush,Alpha,여,4
Cry,Alpha,남,4
Cry,Alpha,여,3
Ctrl,Alpha,남,2
Cup,Alpha,남,1
Cupid,Alpha,여,9
Curve,Alpha,남,1
Cut,Alpha,남,3
Cut,Alpha,여,4
Cuz,Alpha,남,44
Cuz,Alpha,여,23
Cypher,Alpha,남,2
D,Alpha,남,21
D,Alpha,여,37
DADI,Alpha,여,1
DAN,Alpha,남,40
DANCE,Alpha,남,16
DANCE,Alpha,여,2
DANGEROUS,Alpha,남,1
DANS,Alpha,남,1
DAY,Alpha,남,6
DEJAVU,Alpha,여,6
DIDN,Alpha,여,2
DIG,Alpha,남,1
DJ,Alpha,남,2
DJ,Alpha,여,19
DNA,Alpha,남,7
DO,Alpha,남,6
DO,Alpha,여,2
DOG,Alpha,남,1
DOLLAR,Alpha,남,10
DON,Alpha,남,2
DON,Alpha,여,3
DOWN,Alpha,남,2
DREAM,Alpha,여,4
DROP,Alpha,남,8
Da,Alpha,남,8
Da,Alpha,여,8
Dadada,Alpha,남,4
Dah,Alpha,남,3
Dahyun,Alpha,여,2
Damage,Alpha,남,18
Damn,Alpha,남,5
Dan,Alpha,여,1
Dance,Alpha,남,14
Dance,Alpha,여,24
Dancing,Alpha,남,9
Dancing,Alpha,여,3
Danger,Alpha,남,3
Danger,Alpha,여,4
Dangerous,Alpha,남,6
Dangerous,Alpha,여,4
Darling,Alpha,남,1
Dash,Alpha,남,1
Dat,Alpha,남,3
Dawn,Alpha,남,1
Day,Alpha,남,9
Day,Alpha,여,7
Daydreaming,Alpha,남,1
Daylight,Alpha,여,1
Days,Alpha,여,1
Deal,Alpha,여,2
Dear,Alpha,남,2
Dear,Alpha,여,9
December,Alpha,여,1
Dedication,Alpha,남,6
Deep,Alpha,남,2
Deeper,Alpha,남,1
Dejavu,Alpha,남,1
Della,Alpha,남,1
Dem,Alpha,남,2
Demon,Alpha,남,1
Depart,Alpha,남,2
Depend,Alpha,여,2
Depp,Alpha,여,1
Der,Alpha,남,1
Desert,Alpha,여,3
Deserve,Alpha,남,1
Despacito,Alpha,남,2
Destiny,Alpha,남,2
Devil,Alpha,남,4
Devil,Alpha,여,10
Di,Alpha,남,3
Diagramma,Alpha,남,1
Diamond,Alpha,남,6
Diamond,Alpha,여,2
Diamonds,Alpha,남,10
Diamonds,Alpha,여,3
Diary,Alpha,여,1
Did,Alpha,남,4
Did,Alpha,여,7
Didn,Alpha,여,4
Ding,Alpha,남,1
Ding,Alpha,여,10
Dingy,Alpha,여,6
Dior,Alpha,남,1
Direction,Alpha,남,3
Dirty,Alpha,남,28
Disco,Alpha,남,2
Disco,Alpha,여,1
Dive,Alpha,남,6
Diving,Alpha,남,1
Diving,Alpha,여,3
Dj,Alpha,남,1
Do,Alpha,남,81
Do,Alpha,여,34
Doctor,Alpha,남,5
Doe,Alpha,여,3
Does,Alpha,남,4
Does,Alpha,여,4
Doesn,Alpha,남,2
Doggystyle,Alpha,남,1
Doll,Alpha,남,1
Don,Alpha,남,164
Don,Alpha,여,275
Dong,Alpha,여,9
Dont,Alpha,남,2
Dont,Alpha,여,7
Dony,Alpha,남,1
Doo,Alpha,남,4
Dorado,Alpha,남,18
Double,Alpha,남,9
Down,Alpha,남,14
Down,Alpha,여,16
Dracula,Alpha,여,9
Drama,Alpha,남,11
Drama,Alpha,여,2
Dream,Alpha,남,12
Dream,Alpha,여,2
Dreamin,Alpha,남,9
Dreaming,Alpha,남,1
Dreaming,Alpha,여,2
Dress,Alpha,여,32
Dresses,Alpha,여,1
Drink,Alpha,남,2
Drink,Alpha,여,1
Drip,Alpha,남,4
Drip,Alpha,여,1
Drive,Alpha,여,8
Driving,Alpha,여,1
Drop,Alpha,남,13
Drop,Alpha,여,1
Drummer,Alpha,여,1
Du,Alpha,남,18
Dum,Alpha,남,3
Dumb,Alpha,여,37
Dumdi,Alpha,남,2
Duper,Alpha,남,27
Duru,Alpha,남,2
Dynamite,Alpha,여,2
Dynnnnnanana,Alpha,남,10
E,Alpha,남,67
E,Alpha,여,91
EGO,Alpha,남,1
ELF,Alpha,남,1
ENDING,Alpha,여,2
ERRDAY,Alpha,남,1
EVERY,Alpha,남,1
EVERYBODY,Alpha,남,1
EXO,Alpha,남,11
EXTRA,Alpha,남,2
Easily,Alpha,남,2
Easy,Alpha,여,1
Echo,Alpha,여,54
Edit,Alpha,여,3
Ego,Alpha,남,10
Eh,Alpha,남,38
Eh,Alpha,여,3
Eighteen,Alpha,남,6
El,Alpha,남,36
Eldorado,Alpha,남,1
Electronic,Alpha,남,7
Em,Alpha,남,4
Eminem,Alpha,남,1
Emotion,Alpha,여,4
Ending,Alpha,남,25
Ending,Alpha,여,1
Endless,Alpha,남,2
English,Alpha,남,1
English,Alpha,여,1
Enjoy,Alpha,여,2
Eric,Alpha,남,1
Eris,Alpha,남,1
Errbody,Alpha,남,2
Errday,Alpha,남,1
Errthing,Alpha,남,1
Espresso,Alpha,남,1
Esto,Alpha,남,1
Eternally,Alpha,남,4
Euphoria,Alpha,남,5
European,Alpha,남,1
Even,Alpha,남,1
Even,Alpha,여,5
Ever,Alpha,남,1
Every,Alpha,남,14
Every,Alpha,여,15
Everybody,Alpha,남,78
Everybody,Alpha,여,8
Everyday,Alpha,남,23
Everyday,Alpha,여,2
Everything,Alpha,남,29
Everything,Alpha,여,3
Everywhere,Alpha,남,12
Exclusive,Alpha,남,1
Excuse,Alpha,남,4
Excuse,Alpha,여,5
Exodus,Alpha,남,11
Expanse,Alpha,남,1
Explain,Alpha,남,2
Express,Alpha,여,3
Ey,Alpha,여,2
Eye,Alpha,남,1
Eyes,Alpha,남,1
Eyes,Alpha,여,4
F,Alpha,남,13
F,Alpha,여,20
FAN,Alpha,여,1
FANTASTIC,Alpha,남,10
FASTER,Alpha,여,2
FIRE,Alpha,남,1
FOREVER,Alpha,남,2
FREE,Alpha,남,1
FRIEND,Alpha,여,6
FROM,Alpha,남,1
FUERZA,Alpha,남,1
FUN,Alpha,남,6
Face,Alpha,남,1
Faded,Alpha,남,1
Fail,Alpha,남,1
Fairy,Alpha,여,1
Fairytale,Alpha,여,3
Fake,Alpha,남,22
Fall,Alpha,남,31
Fall,Alpha,여,6
Fallin,Alpha,남,4
Falling,Alpha,남,21
Falling,Alpha,여,14
Famil,Alpha,남,1
Fan,Alpha,남,2
Fancy,Alpha,여,9
Fantasies,Alpha,여,1
Fantasy,Alpha,남,4
Fantasy,Alpha,여,5
Far,Alpha,남,3
Fashion,Alpha,남,1
Fast,Alpha,여,2
Favorite,Alpha,여,2
Fear,Alpha,남,1
Fearless,Alpha,남,3
Feel,Alpha,남,24
Feel,Alpha,여,15
Feelin,Alpha,여,1
Feeling,Alpha,남,6
Feeling,Alpha,여,4
Feelings,Alpha,남,2
Feels,Alpha,남,25
Feels,Alpha,여,2
Felt,Alpha,여,2
Female,Alpha,여,1
Fera,Alpha,여,1
Festival,Alpha,여,3
Fete,Alpha,여,1
Fever,Alpha,여,1
Fianc,Alpha,여,1
Fiction,Alpha,여,1
Fight,Alpha,남,1
Fighting,Alpha,여,1
Film,Alpha,남,4
Finale,Alpha,남,1
Finally,Alpha,남,1
Find,Alpha,남,7
Find,Alpha,여,16
Fine,Alpha,여,1
Finish,Alpha,남,1
Finito,Alpha,여,3
Finna,Alpha,남,3
Fire,Alpha,남,19
Fire,Alpha,여,12
Firework,Alpha,남,1
First,Alpha,여,2
Fish,Alpha,남,1
Fit,Alpha,남,1
Fitness,Alpha,남,1
Flare,Alpha,남,5
Flash,Alpha,남,1
Flash,Alpha,여,1
Flashback,Alpha,남,1
Flex,Alpha,남,2
Flip,Alpha,남,1
Floatin,Alpha,남,1
Flow,Alpha,남,1
Flow,Alpha,여,1
Flower,Alpha,남,5
Fly,Alpha,남,29
Fly,Alpha,여,5
Flyer,Alpha,여,1
Flying,Alpha,남,25
Focus,Alpha,여,1
Follow,Alpha,남,10
Follow,Alpha,여,3
Fool,Alpha,여,15
For,Alpha,남,34
For,Alpha,여,15
Force,Alpha,남,1
Forever,Alpha,남,31
Forever,Alpha,여,12
Forget,Alpha,남,1
Forgive,Alpha,남,1
Found,Alpha,남,4
Four,Alpha,여,3
Foxy,Alpha,여,1
Frame,Alpha,남,1
Francis,Alpha,남,1
Freak,Alpha,남,1
Freakin,Alpha,남,2
Free,Alpha,남,14
Free,Alpha,여,4
Freestyle,Alpha,남,1
Freeze,Alpha,남,1
Fresh,Alpha,남,2
Fresh,Alpha,여,1
Friday,Alpha,남,1
Friend,Alpha,남,3
Friend,Alpha,여,1
Friends,Alpha,남,2
Friz,Alpha,남,1
From,Alpha,남,2
From,Alpha,여,3
Front,Alpha,여,1
Fue,Alpha,남,1
Fun,Alpha,남,2
Fun,Alpha,여,9
Funk,Alpha,남,1
Funky,Alpha,남,1
Funny,Alpha,남,15
Future,Alpha,여,1
G,Alpha,남,24
G,Alpha,여,5
GAMBLE,Alpha,여,1
GD,Alpha,남,2
GG,Alpha,여,1
GIANT,Alpha,남,1
GIGI,Alpha,남,3
GIVENCHY,Alpha,남,1
GO,Alpha,여,13
GOD,Alpha,남,3
GOD,Alpha,여,1
GOING,Alpha,남,2
GON,Alpha,남,1
GONNA,Alpha,남,2
GOOD,Alpha,남,1
GOTTA,Alpha,여,1
GUCCI,Alpha,남,1
Game,Alpha,남,14
Game,Alpha,여,5
Gang,Alpha,남,1
Gap,Alpha,남,3
Gave,Alpha,여,2
Ge,Alpha,남,3
Gee,Alpha,여,52
Genie,Alpha,남,1
Genie,Alpha,여,18
Gentleman,Alpha,남,1
Gentleman,Alpha,여,1
Gentlemen,Alpha,남,8
Gesture,Alpha,여,2
Get,Alpha,남,41
Get,Alpha,여,39
Getaway,Alpha,남,1
Getting,Alpha,남,5
Giant,Alpha,남,1
Gimme,Alpha,남,18
Gimme,Alpha,여,11
Gingerbread,Alpha,여,1
Girl,Alpha,남,187
Girl,Alpha,여,28
Girls,Alpha,남,6
Girls,Alpha,여,75
Give,Alpha,남,17
Give,Alpha,여,57
Giving,Alpha,남,3
Gloria,Alpha,남,1
Gloves,Alpha,남,1
Go,Alpha,남,59
Go,Alpha,여,52
God,Alpha,남,6
God,Alpha,여,14
Goddess,Alpha,남,1
Going,Alpha,남,24
Going,Alpha,여,4
Gonna,Alpha,여,4
Good,Alpha,남,85
Good,Alpha,여,8
Goodbye,Alpha,남,14
Goodbye,Alpha,여,4
Gorgeous,Alpha,남,12
Gosh,Alpha,남,1
Got,Alpha,남,28
Got,Alpha,여,11
Gotta,Alpha,남,3
Gotta,Alpha,여,14
Grab,Alpha,남,2
Grab,Alpha,여,1
Green,Alpha,남,2
Green,Alpha,여,4
Groove,Alpha,여,1
Growing,Alpha,여,1
Guard,Alpha,남,1
Gucci,Alpha,여,1
Guess,Alpha,남,1
Guilty,Alpha,여,1
H,Alpha,여,9
HAPPY,Alpha,여,14
HEART,Alpha,여,1
HELL,Alpha,남,2
HERE,Alpha,여,1
HEY,Alpha,남,2
HIGHER,Alpha,남,1
HIGHLIGHT,Alpha,남,3
HIPHOP,Alpha,남,2
HIT,Alpha,남,40
HOLD,Alpha,남,1
HOME,Alpha,남,37
HOME,Alpha,여,2
HONEY,Alpha,여,8
HOOK,Alpha,여,3
HOPE,Alpha,여,6
HOT,Alpha,남,1
HOW,Alpha,남,1
HUGO,Alpha,남,1
HUH,Alpha,남,2
