형태소,품사,가수,카운트
"
",Foreign,레드벨벳,2
!,Punctuation,2NE1,20
!,Punctuation,BLACKPINK,1
!,Punctuation,TWICE,69
!,Punctuation,동방신기,30
!,Punctuation,동방신기(TVXQ!),65
!,Punctuation,레드벨벳,137
!,Punctuation,방탄소년단,179
!,Punctuation,빅뱅,73
!,Punctuation,세븐틴,38
!,Punctuation,소녀시대,217
!,Punctuation,슈퍼주니어,222
!,Punctuation,엑소,137
!,Punctuation,원더걸스,7
!!,Punctuation,동방신기,1
!!,Punctuation,동방신기(TVXQ!),1
!!,Punctuation,방탄소년단,9
!!,Punctuation,슈퍼주니어,13
!!!,Punctuation,슈퍼주니어,3
!!!!,Punctuation,방탄소년단,3
!!!!!,Punctuation,방탄소년단,1
"!""",Punctuation,방탄소년단,3
!',Punctuation,방탄소년단,1
!),Punctuation,2NE1,8
!),Punctuation,TWICE,8
!),Punctuation,동방신기,7
!),Punctuation,동방신기(TVXQ!),15
!),Punctuation,레드벨벳,31
!),Punctuation,방탄소년단,101
!),Punctuation,빅뱅,8
!),Punctuation,세븐틴,1
!),Punctuation,소녀시대,18
!),Punctuation,슈퍼주니어,22
!),Punctuation,엑소,25
!>,Punctuation,슈퍼주니어,1
"""",Punctuation,TWICE,2
"""",Punctuation,레드벨벳,7
"""",Punctuation,방탄소년단,7
"""",Punctuation,소녀시대,15
"""",Punctuation,슈퍼주니어,12
$,Punctuation,방탄소년단,2
"$,",Punctuation,세븐틴,1
$.,Punctuation,세븐틴,1
&,Punctuation,2NE1,3
&,Punctuation,TWICE,5
&,Punctuation,동방신기,14
&,Punctuation,동방신기(TVXQ!),1
&,Punctuation,레드벨벳,13
&,Punctuation,방탄소년단,28
&,Punctuation,빅뱅,17
&,Punctuation,세븐틴,11
&,Punctuation,소녀시대,15
&,Punctuation,슈퍼주니어,24
&,Punctuation,엑소,9
&,Punctuation,원더걸스,20
',Punctuation,2NE1,276
',Punctuation,BLACKPINK,45
',Punctuation,TWICE,371
',Punctuation,동방신기,94
',Punctuation,동방신기(TVXQ!),168
',Punctuation,레드벨벳,139
',Punctuation,방탄소년단,686
',Punctuation,빅뱅,211
',Punctuation,세븐틴,264
',Punctuation,소녀시대,176
',Punctuation,슈퍼주니어,384
',Punctuation,엑소,283
',Punctuation,원더걸스,130
'),Punctuation,엑소,2
(,Punctuation,2NE1,33
(,Punctuation,BLACKPINK,16
(,Punctuation,TWICE,115
(,Punctuation,동방신기,160
(,Punctuation,동방신기(TVXQ!),225
(,Punctuation,레드벨벳,298
(,Punctuation,방탄소년단,629
(,Punctuation,빅뱅,357
(,Punctuation,세븐틴,267
(,Punctuation,소녀시대,382
(,Punctuation,슈퍼주니어,524
(,Punctuation,엑소,543
(,Punctuation,원더걸스,119
(&),Punctuation,소녀시대,1
(**,Punctuation,슈퍼주니어,3
([,Punctuation,동방신기,9
([,Punctuation,슈퍼주니어,6
),Punctuation,2NE1,24
),Punctuation,BLACKPINK,16
),Punctuation,TWICE,107
),Punctuation,동방신기,166
),Punctuation,동방신기(TVXQ!),208
),Punctuation,레드벨벳,245
),Punctuation,방탄소년단,495
),Punctuation,빅뱅,340
),Punctuation,세븐틴,264
),Punctuation,소녀시대,333
),Punctuation,슈퍼주니어,540
),Punctuation,엑소,502
),Punctuation,원더걸스,98
"),",Punctuation,방탄소년단,3
"),",Punctuation,세븐틴,2
"),",Punctuation,슈퍼주니어,1
)/,Punctuation,원더걸스,4
)[,Punctuation,동방신기,2
*,Punctuation,2NE1,4
*,Punctuation,동방신기,27
*,Punctuation,동방신기(TVXQ!),75
*,Punctuation,레드벨벳,31
*,Punctuation,빅뱅,3
*,Punctuation,세븐틴,8
*,Punctuation,소녀시대,102
*,Punctuation,슈퍼주니어,184
*,Punctuation,엑소,11
*,Punctuation,원더걸스,3
*(,Punctuation,동방신기,2
*(,Punctuation,세븐틴,1
*(,Punctuation,슈퍼주니어,3
**,Punctuation,동방신기,7
**,Punctuation,동방신기(TVXQ!),26
**,Punctuation,레드벨벳,26
**,Punctuation,방탄소년단,1
**,Punctuation,빅뱅,10
**,Punctuation,세븐틴,9
**,Punctuation,소녀시대,19
**,Punctuation,슈퍼주니어,56
**,Punctuation,엑소,5
**,Punctuation,원더걸스,5
**(,Punctuation,동방신기,2
**(,Punctuation,슈퍼주니어,1
***,Punctuation,동방신기(TVXQ!),3
***,Punctuation,레드벨벳,1
***,Punctuation,방탄소년단,1
***,Punctuation,세븐틴,1
***,Punctuation,슈퍼주니어,4
***,Punctuation,엑소,2
***,Punctuation,원더걸스,5
***(,Punctuation,세븐틴,2
****,Punctuation,동방신기(TVXQ!),2
*******,Punctuation,방탄소년단,1
*[,Punctuation,동방신기,16
*[,Punctuation,슈퍼주니어,1
+,Punctuation,동방신기,3
+,Punctuation,방탄소년단,1
+,Punctuation,슈퍼주니어,3
",",Punctuation,2NE1,37
",",Punctuation,BLACKPINK,39
",",Punctuation,TWICE,406
",",Punctuation,동방신기,128
",",Punctuation,동방신기(TVXQ!),301
",",Punctuation,레드벨벳,181
",",Punctuation,방탄소년단,832
",",Punctuation,빅뱅,57
",",Punctuation,세븐틴,91
",",Punctuation,소녀시대,453
",",Punctuation,슈퍼주니어,716
",",Punctuation,엑소,548
",",Punctuation,원더걸스,83
",([",Punctuation,동방신기,1
",)",Punctuation,빅뱅,3
",,",Punctuation,빅뱅,4
-,Punctuation,2NE1,24
-,Punctuation,BLACKPINK,56
-,Punctuation,TWICE,167
-,Punctuation,동방신기,21
-,Punctuation,동방신기(TVXQ!),53
-,Punctuation,레드벨벳,541
-,Punctuation,방탄소년단,69
-,Punctuation,빅뱅,22
-,Punctuation,세븐틴,54
-,Punctuation,소녀시대,229
-,Punctuation,슈퍼주니어,182
-,Punctuation,엑소,152
-,Punctuation,원더걸스,5
-),Punctuation,레드벨벳,6
-),Punctuation,빅뱅,1
-),Punctuation,세븐틴,1
-),Punctuation,소녀시대,1
-),Punctuation,슈퍼주니어,2
--,Punctuation,레드벨벳,6
----,Punctuation,소녀시대,2
-----,Punctuation,2NE1,1
-----,Punctuation,소녀시대,1
.,Foreign,슈퍼주니어,1
.,Punctuation,2NE1,105
.,Punctuation,TWICE,5
.,Punctuation,동방신기,36
.,Punctuation,동방신기(TVXQ!),368
.,Punctuation,레드벨벳,30
.,Punctuation,방탄소년단,152
.,Punctuation,빅뱅,139
.,Punctuation,세븐틴,39
.,Punctuation,소녀시대,159
.,Punctuation,슈퍼주니어,327
.,Punctuation,엑소,94
.,Punctuation,원더걸스,18
.(,Punctuation,소녀시대,1
.),Punctuation,동방신기(TVXQ!),1
.),Punctuation,소녀시대,16
.),Punctuation,슈퍼주니어,2
..,Punctuation,동방신기,14
..,Punctuation,동방신기(TVXQ!),3
..,Punctuation,레드벨벳,4
..,Punctuation,방탄소년단,36
..,Punctuation,빅뱅,19
..,Punctuation,세븐틴,2
..,Punctuation,소녀시대,14
..,Punctuation,슈퍼주니어,30
..,Punctuation,원더걸스,4
"..""",Punctuation,방탄소년단,1
..',Punctuation,방탄소년단,1
..),Punctuation,소녀시대,1
...,Punctuation,동방신기,7
...,Punctuation,동방신기(TVXQ!),3
...,Punctuation,방탄소년단,11
...,Punctuation,빅뱅,9
...,Punctuation,소녀시대,15
...,Punctuation,슈퍼주니어,26
...,Punctuation,엑소,6
...,Punctuation,원더걸스,1
....,Punctuation,BLACKPINK,2
....,Punctuation,빅뱅,1
....,Punctuation,슈퍼주니어,4
.....,Punctuation,슈퍼주니어,3
...?!,Punctuation,빅뱅,1
..?,Punctuation,빅뱅,1
..?,Punctuation,소녀시대,1
.?,Punctuation,슈퍼주니어,1
/,Punctuation,빅뱅,10
/,Punctuation,소녀시대,1
/,Punctuation,원더걸스,3
0,Number,빅뱅,1
0,Number,세븐틴,2
0,Number,엑소,1
062-518,Number,방탄소년단,1
1,Number,2NE1,27
1,Number,BLACKPINK,1
1,Number,TWICE,20
1,Number,동방신기,3
1,Number,동방신기(TVXQ!),6
1,Number,레드벨벳,15
1,Number,방탄소년단,15
1,Number,빅뱅,19
1,Number,세븐틴,7
1,Number,소녀시대,5
1,Number,슈퍼주니어,3
1,Number,엑소,6
1,Number,원더걸스,1
1%,Number,슈퍼주니어,1
1.2,Number,2NE1,1
10,Number,TWICE,22
10,Number,동방신기(TVXQ!),1
10,Number,레드벨벳,28
10,Number,방탄소년단,4
100,Number,세븐틴,2
100,Number,슈퍼주니어,1
100,Number,원더걸스,2
100%,Number,TWICE,1
100%,Number,슈퍼주니어,1
100000,Number,빅뱅,1
100일,Number,동방신기,1
101,Number,동방신기,1
10년,Number,동방신기(TVXQ!),1
10년,Number,슈퍼주니어,2
10만원,Number,방탄소년단,1
10분,Number,레드벨벳,3
119,Number,동방신기(TVXQ!),2
119,Number,방탄소년단,1
119,Number,빅뱅,2
11월,Number,동방신기(TVXQ!),4
12345,Number,TWICE,4
12시,Number,방탄소년단,2
12시,Number,소녀시대,1
12월,Number,TWICE,4
12월,Number,세븐틴,1
13월,Number,세븐틴,7
14,Number,방탄소년단,1
151,Number,슈퍼주니어,2
16,Number,TWICE,3
16,Number,방탄소년단,1
17,Number,방탄소년단,1
17,Number,세븐틴,1
181,Number,방탄소년단,1
19,Number,빅뱅,2
1:40,Number,소녀시대,1
1년,Number,TWICE,1
1년,Number,방탄소년단,4
1년,Number,빅뱅,4
1년,Number,소녀시대,2
1년,Number,슈퍼주니어,3
1년,Number,엑소,5
1등,Number,방탄소년단,2
1등,Number,세븐틴,1
1분,Number,레드벨벳,2
1분,Number,세븐틴,3
1분,Number,엑소,2
1월,Number,세븐틴,1
1초,Number,레드벨벳,1
1초,Number,세븐틴,3
1초,Number,엑소,2
2,Number,2NE1,37
2,Number,BLACKPINK,1
2,Number,TWICE,11
2,Number,동방신기,2
2,Number,동방신기(TVXQ!),10
2,Number,레드벨벳,39
2,Number,방탄소년단,22
2,Number,빅뱅,39
2,Number,세븐틴,7
2,Number,소녀시대,11
2,Number,슈퍼주니어,23
2,Number,엑소,4
2,Number,원더걸스,4
2%,Number,TWICE,1
2-2,Number,2NE1,3
20,Number,동방신기,1
20,Number,방탄소년단,5
2001,Number,방탄소년단,1
2006,Number,빅뱅,1
2006년,Number,방탄소년단,2
2007년,Number,방탄소년단,1
2008,Number,빅뱅,1
2010,Number,2NE1,1
2010년,Number,방탄소년단,1
2011,Number,빅뱅,1
2015년,Number,원더걸스,1
21,Number,2NE1,2
21,Number,방탄소년단,9
22,Number,세븐틴,1
24,Number,BLACKPINK,1
24,Number,방탄소년단,4
24,Number,원더걸스,1
24/7,Number,TWICE,11
24/7,Number,방탄소년단,3
24/7,Number,빅뱅,4
24/7,Number,세븐틴,3
24/7,Number,엑소,10
247,Number,세븐틴,10
248,Number,방탄소년단,2
24시,Number,세븐틴,1
24시간,Number,TWICE,1
24시간,Number,레드벨벳,1
24시간,Number,방탄소년단,3
24시간,Number,빅뱅,1
2년,Number,방탄소년단,1
2년,Number,빅뱅,2
2분,Number,레드벨벳,1
3,Number,BLACKPINK,1
3,Number,TWICE,19
3,Number,동방신기(TVXQ!),4
3,Number,레드벨벳,35
3,Number,방탄소년단,5
3,Number,빅뱅,9
3,Number,세븐틴,5
3,Number,소녀시대,6
3,Number,슈퍼주니어,2
3,Number,엑소,8
3-6,Number,엑소,13
3.4,Number,2NE1,1
300,Number,방탄소년단,1
30분,Number,2NE1,1
34분,Number,레드벨벳,1
365,Number,BLACKPINK,1
365,Number,빅뱅,2
365,Number,소녀시대,3
3년,Number,방탄소년단,2
3년,Number,원더걸스,1
3분,Number,레드벨벳,1
3분,Number,빅뱅,1
3분,Number,슈퍼주니어,1
3시,Number,레드벨벳,1
4,Number,2NE1,9
4,Number,BLACKPINK,1
4,Number,TWICE,16
4,Number,동방신기(TVXQ!),5
4,Number,레드벨벳,4
4,Number,방탄소년단,5
4,Number,빅뱅,4
4,Number,세븐틴,1
4,Number,소녀시대,6
4,Number,슈퍼주니어,15
4,Number,엑소,1
4,Number,원더걸스,1
400,Number,방탄소년단,1
42.195,Number,방탄소년단,1
4분,Number,TWICE,1
4분,Number,레드벨벳,1
4분,Number,방탄소년단,1
4분,Number,슈퍼주니어,1
4월,Number,슈퍼주니어,1
4일,Number,슈퍼주니어,1
5,Number,TWICE,16
5,Number,레드벨벳,1
5,Number,방탄소년단,5
5,Number,빅뱅,7
5,Number,세븐틴,1
5,Number,슈퍼주니어,2
5,Number,엑소,13
50,Number,레드벨벳,1
5분,Number,빅뱅,1
5일,Number,소녀시대,2
5천,Number,방탄소년단,1
5천만,Number,방탄소년단,1
6,Number,TWICE,7
6,Number,레드벨벳,9
6,Number,방탄소년단,3
6,Number,세븐틴,1
6789,Number,TWICE,4
6년,Number,방탄소년단,1
6년,Number,빅뱅,1
6시,Number,슈퍼주니어,2
6천,Number,동방신기(TVXQ!),1
7,Number,TWICE,7
7,Number,동방신기,2
7,Number,동방신기(TVXQ!),3
7,Number,방탄소년단,3
7,Number,빅뱅,2
7,Number,세븐틴,1
7,Number,슈퍼주니어,2
70억,Number,방탄소년단,3
75.5,Number,슈퍼주니어,2
77억,Number,세븐틴,1
7년,Number,방탄소년단,4
7시,Number,방탄소년단,1
7천,Number,방탄소년단,3
8,Number,TWICE,14
8,Number,동방신기,1
8,Number,방탄소년단,1
8,Number,세븐틴,1
8,Number,슈퍼주니어,1
88,Number,원더걸스,1
8만,Number,동방신기(TVXQ!),1
8분,Number,TWICE,1
8월,Number,방탄소년단,1
9,Number,TWICE,14
9,Number,방탄소년단,2
9,Number,세븐틴,25
9,Number,슈퍼주니어,1
9,Number,엑소,1
90,Number,BLACKPINK,1
99,Number,방탄소년단,1
9회,Number,방탄소년단,1
9회,Number,빅뱅,1
9회,Number,세븐틴,1
:,Punctuation,레드벨벳,3
:,Punctuation,방탄소년단,131
:,Punctuation,원더걸스,6
<,Punctuation,동방신기,6
<,Punctuation,레드벨벳,1
<,Punctuation,소녀시대,2
<,Punctuation,슈퍼주니어,1
<,Punctuation,원더걸스,2
=,Punctuation,방탄소년단,3
=,Punctuation,세븐틴,1
=,Punctuation,원더걸스,1
>,Punctuation,동방신기,5
>,Punctuation,레드벨벳,1
>,Punctuation,소녀시대,2
>,Punctuation,슈퍼주니어,21
>,Punctuation,원더걸스,2
?,Punctuation,2NE1,22
?,Punctuation,BLACKPINK,7
?,Punctuation,TWICE,48
?,Punctuation,동방신기,19
?,Punctuation,동방신기(TVXQ!),55
?,Punctuation,레드벨벳,142
?,Punctuation,방탄소년단,251
?,Punctuation,빅뱅,37
?,Punctuation,세븐틴,20
?,Punctuation,소녀시대,85
?,Punctuation,슈퍼주니어,121
?,Punctuation,엑소,64
?,Punctuation,원더걸스,39
?!,Punctuation,빅뱅,2
?!,Punctuation,원더걸스,1
"?""",Punctuation,방탄소년단,1
"?""",Punctuation,소녀시대,3
?),Punctuation,2NE1,1
?),Punctuation,레드벨벳,10
?),Punctuation,방탄소년단,11
?),Punctuation,빅뱅,4
?),Punctuation,세븐틴,1
?),Punctuation,소녀시대,6
?),Punctuation,슈퍼주니어,1
?),Punctuation,엑소,14
?),Punctuation,원더걸스,7
?..,Punctuation,빅뱅,1
??,Punctuation,빅뱅,1
?’,Punctuation,방탄소년단,1
A,Alpha,2NE1,13
A,Alpha,BLACKPINK,5
A,Alpha,TWICE,26
A,Alpha,레드벨벳,42
A,Alpha,방탄소년단,8
A,Alpha,빅뱅,25
A,Alpha,세븐틴,9
A,Alpha,소녀시대,23
A,Alpha,슈퍼주니어,5
A,Alpha,엑소,18
A,Alpha,원더걸스,10
ABC,Alpha,레드벨벳,4
ABC,Alpha,소녀시대,19
AHH,Alpha,TWICE,8
AIRBAG,Alpha,세븐틴,1
ALL,Alpha,슈퍼주니어,11
ALRIGHT,Alpha,빅뱅,1
AND,Alpha,방탄소년단,1
AND,Alpha,빅뱅,1
AP,Alpha,BLACKPINK,1
AP,Alpha,방탄소년단,2
ARMY,Alpha,방탄소년단,2
AYE,Alpha,빅뱅,3
Aah,Alpha,방탄소년단,2
Ability,Alpha,슈퍼주니어,1
About,Alpha,2NE1,1
About,Alpha,세븐틴,3
Ace,Alpha,슈퍼주니어,2
Act,Alpha,원더걸스,2
Acting,Alpha,BLACKPINK,1
Action,Alpha,TWICE,1
Action,Alpha,동방신기(TVXQ!),9
Action,Alpha,레드벨벳,1
Action,Alpha,세븐틴,1
Action,Alpha,소녀시대,4
Action,Alpha,슈퍼주니어,2
Addicted,Alpha,TWICE,1
Adrenaline,Alpha,슈퍼주니어,1
Adrenaline,Alpha,엑소,1
Afternoon,Alpha,레드벨벳,14
Again,Alpha,TWICE,3
Agust,Alpha,방탄소년단,1
Ah,Alpha,BLACKPINK,2
Ah,Alpha,TWICE,25
Ah,Alpha,동방신기,1
Ah,Alpha,동방신기(TVXQ!),7
Ah,Alpha,레드벨벳,62
Ah,Alpha,방탄소년단,4
Ah,Alpha,빅뱅,32
Ah,Alpha,세븐틴,61
Ah,Alpha,소녀시대,51
Ah,Alpha,슈퍼주니어,6
Ah,Alpha,엑소,13
Ah,Alpha,원더걸스,13
Aha,Alpha,동방신기(TVXQ!),1
Aha,Alpha,소녀시대,1
Ahh,Alpha,TWICE,12
Ahh,Alpha,방탄소년단,1
Ahh,Alpha,소녀시대,5
Ahhh,Alpha,방탄소년단,1
Ahnana,Alpha,레드벨벳,2
Ahora,Alpha,슈퍼주니어,1
Ain,Alpha,2NE1,2
Ain,Alpha,TWICE,10
Ain,Alpha,방탄소년단,1
Ain,Alpha,빅뱅,3
Ain,Alpha,엑소,1
Air,Alpha,빅뱅,2
Akon,Alpha,원더걸스,1
Aladdin,Alpha,방탄소년단,1
Alexander,Alpha,방탄소년단,2
All,Alpha,2NE1,8
All,Alpha,BLACKPINK,4
All,Alpha,TWICE,32
All,Alpha,동방신기,46
All,Alpha,동방신기(TVXQ!),2
All,Alpha,레드벨벳,32
All,Alpha,방탄소년단,122
All,Alpha,빅뱅,2
All,Alpha,세븐틴,11
All,Alpha,소녀시대,16
All,Alpha,슈퍼주니어,20
All,Alpha,엑소,20
All,Alpha,원더걸스,7
Alone,Alpha,레드벨벳,1
Alright,Alpha,2NE1,8
Alright,Alpha,TWICE,6
Alright,Alpha,동방신기(TVXQ!),2
Alright,Alpha,레드벨벳,4
Alright,Alpha,방탄소년단,2
Alright,Alpha,세븐틴,1
Alright,Alpha,소녀시대,8
Alright,Alpha,슈퍼주니어,27
Always,Alpha,동방신기,2
Always,Alpha,방탄소년단,4
Always,Alpha,세븐틴,4
Always,Alpha,소녀시대,4
Always,Alpha,슈퍼주니어,2
Always,Alpha,원더걸스,1
Am,Alpha,방탄소년단,11
Amazing,Alpha,소녀시대,1
America,Alpha,원더걸스,1
Amor,Alpha,세븐틴,3
An,Alpha,방탄소년단,1
And,Alpha,2NE1,14
And,Alpha,BLACKPINK,18
And,Alpha,TWICE,9
And,Alpha,동방신기,1
And,Alpha,동방신기(TVXQ!),15
And,Alpha,방탄소년단,44
And,Alpha,빅뱅,15
And,Alpha,세븐틴,12
And,Alpha,소녀시대,7
And,Alpha,슈퍼주니어,7
And,Alpha,엑소,1
And,Alpha,원더걸스,11
Andante,Alpha,슈퍼주니어,1
Angel,Alpha,세븐틴,1
Angel,Alpha,소녀시대,1
Angel,Alpha,엑소,7
Angry,Alpha,방탄소년단,1
Another,Alpha,원더걸스,1
Anpan,Alpha,방탄소년단,5
Anpanman,Alpha,방탄소년단,18
Anybody,Alpha,세븐틴,1
Anybody,Alpha,원더걸스,18
Anything,Alpha,TWICE,1
Anytime,Alpha,TWICE,1
Anyway,Alpha,방탄소년단,1
Aow,Alpha,세븐틴,1
Apology,Alpha,동방신기(TVXQ!),10
Appeal,Alpha,슈퍼주니어,1
Are,Alpha,TWICE,1
Are,Alpha,동방신기,8
Are,Alpha,동방신기(TVXQ!),1
Are,Alpha,레드벨벳,5
Are,Alpha,방탄소년단,7
Are,Alpha,세븐틴,1
Are,Alpha,소녀시대,19
Are,Alpha,슈퍼주니어,15
Are,Alpha,엑소,2
Arm,Alpha,세븐틴,1
Around,Alpha,TWICE,1
Arrive,Alpha,세븐틴,2
Artificial,Alpha,엑소,20
Artist,Alpha,방탄소년단,1
As,Alpha,TWICE,1
As,Alpha,동방신기,2
Ashton,Alpha,방탄소년단,1
Asian,Alpha,방탄소년단,1
At,Alpha,동방신기(TVXQ!),1
At,Alpha,세븐틴,2
Athena,Alpha,소녀시대,1
Atta,Alpha,레드벨벳,3
Attaboy,Alpha,레드벨벳,3
Attack,Alpha,엑소,9
Attention,Alpha,TWICE,1
Auto,Alpha,세븐틴,1
Automatic,Alpha,레드벨벳,11
Automatic,Alpha,세븐틴,2
Automatic,Alpha,소녀시대,1
Awake,Alpha,슈퍼주니어,1
Away,Alpha,2NE1,7
Awe,Alpha,동방신기(TVXQ!),6
Awoooo,Alpha,엑소,1
Awouuuu,Alpha,엑소,6
Ay,Alpha,방탄소년단,14
Ay,Alpha,빅뱅,3
Ay,Alpha,세븐틴,21
Ay,Alpha,엑소,6
Aye,Alpha,BLACKPINK,1
Aye,Alpha,방탄소년단,1
Aye,Alpha,엑소,1
Ayo,Alpha,방탄소년단,5
Ayo,Alpha,빅뱅,1
Ayo,Alpha,소녀시대,2
Ayy,Alpha,방탄소년단,5
B,Alpha,레드벨벳,31
B,Alpha,방탄소년단,1
B,Alpha,빅뱅,20
B,Alpha,세븐틴,5
B,Alpha,원더걸스,8
BA,Alpha,BLACKPINK,6
BAA,Alpha,세븐틴,2
BAAAM,Alpha,슈퍼주니어,1
BABE,Alpha,빅뱅,10
BABY,Alpha,2NE1,3
BABY,Alpha,TWICE,6
BABY,Alpha,빅뱅,20
BABY,Alpha,소녀시대,4
BABY,Alpha,원더걸스,18
BACK,Alpha,2NE1,3
BACK,Alpha,방탄소년단,37
BAND,Alpha,방탄소년단,3
BANG,Alpha,방탄소년단,4
BANG,Alpha,빅뱅,28
BANGTAN,Alpha,방탄소년단,1
BB,Alpha,TWICE,2
BEEN,Alpha,빅뱅,1
BETTER,Alpha,빅뱅,2
BIG,Alpha,빅뱅,4
BIGBANG,Alpha,빅뱅,12
BING,Alpha,방탄소년단,2
BLACKPINK,Alpha,BLACKPINK,7
BODY,Alpha,2NE1,2
BODY,Alpha,빅뱅,1
BOOM,Alpha,BLACKPINK,12
BOOM,Alpha,엑소,5
BOOMBAYAH,Alpha,BLACKPINK,8
BOOMSHAKALAKA,Alpha,빅뱅,12
BOTTOM,Alpha,방탄소년단,1
BPM,Alpha,세븐틴,1
BREATH,Alpha,방탄소년단,1
BRING,Alpha,2NE1,1
BRRR,Alpha,세븐틴,2
BRRRR,Alpha,세븐틴,3
BRRRRRR,Alpha,세븐틴,1
BRUTA,Alpha,슈퍼주니어,1
BTS,Alpha,방탄소년단,7
BUT,Alpha,2NE1,6
BUT,Alpha,방탄소년단,2
BYE,Alpha,2NE1,6
BYE,Alpha,빅뱅,1
Ba,Alpha,레드벨벳,13
Babe,Alpha,TWICE,3
Babe,Alpha,동방신기(TVXQ!),1
Babe,Alpha,세븐틴,8
Babe,Alpha,슈퍼주니어,6
Babe,Alpha,엑소,12
Baboom,Alpha,슈퍼주니어,12
Baby,Alpha,2NE1,24
Baby,Alpha,BLACKPINK,8
Baby,Alpha,TWICE,109
Baby,Alpha,동방신기,18
Baby,Alpha,동방신기(TVXQ!),59
Baby,Alpha,레드벨벳,55
Baby,Alpha,방탄소년단,27
Baby,Alpha,빅뱅,40
Baby,Alpha,세븐틴,61
Baby,Alpha,소녀시대,47
Baby,Alpha,슈퍼주니어,131
Baby,Alpha,엑소,62
Baby,Alpha,원더걸스,41
Back,Alpha,2NE1,3
Back,Alpha,방탄소년단,1
Back,Alpha,세븐틴,15
Back,Alpha,소녀시대,14
Back,Alpha,엑소,3
Back,Alpha,원더걸스,61
Bacon,Alpha,빅뱅,1
Bad,Alpha,레드벨벳,15
Bad,Alpha,빅뱅,1
Bad,Alpha,세븐틴,4
Bad,Alpha,소녀시대,6
Bad,Alpha,슈퍼주니어,4
Bad,Alpha,원더걸스,4
Badadadadadadum,Alpha,원더걸스,1
Badda,Alpha,BLACKPINK,1
Bae,Alpha,TWICE,4
Bake,Alpha,레드벨벳,1
Ball,Alpha,방탄소년단,1
Balloons,Alpha,동방신기(TVXQ!),1
Bam,Alpha,2NE1,2
Bang,Alpha,TWICE,1
Bang,Alpha,레드벨벳,1
Bang,Alpha,방탄소년단,16
Bang,Alpha,빅뱅,4
Banger,Alpha,빅뱅,7
Bap,Alpha,슈퍼주니어,1
Base,Alpha,세븐틴,1
Basically,Alpha,세븐틴,1
Bass,Alpha,방탄소년단,1
Bass,Alpha,소녀시대,1
Bass,Alpha,슈퍼주니어,1
Batman,Alpha,방탄소년단,1
Be,Alpha,TWICE,9
Be,Alpha,동방신기(TVXQ!),3
Be,Alpha,레드벨벳,5
Be,Alpha,방탄소년단,1
Be,Alpha,소녀시대,24
Be,Alpha,슈퍼주니어,4
Be,Alpha,엑소,1
Be,Alpha,원더걸스,1
Beat,Alpha,TWICE,12
Beat,Alpha,레드벨벳,13
Beat,Alpha,방탄소년단,2
Beat,Alpha,슈퍼주니어,2
Beat,Alpha,엑소,1
Beautiful,Alpha,동방신기,1
Beautiful,Alpha,동방신기(TVXQ!),4
Beautiful,Alpha,레드벨벳,2
Beautiful,Alpha,세븐틴,9
Beautiful,Alpha,슈퍼주니어,6
Beautiful,Alpha,엑소,52
Beauty,Alpha,동방신기,1
Beauty,Alpha,슈퍼주니어,1
Because,Alpha,TWICE,3
Because,Alpha,동방신기,3
Because,Alpha,방탄소년단,2
Because,Alpha,세븐틴,19
Because,Alpha,소녀시대,3
Because,Alpha,슈퍼주니어,8
Been,Alpha,BLACKPINK,1
Been,Alpha,방탄소년단,1
Beep,Alpha,TWICE,1
Beep,Alpha,소녀시대,1
Before,Alpha,BLACKPINK,1
Before,Alpha,엑소,1
Before,Alpha,원더걸스,1
Behind,Alpha,TWICE,5
Believe,Alpha,TWICE,2
Believe,Alpha,동방신기(TVXQ!),1
Believe,Alpha,엑소,1
Believer,Alpha,TWICE,7
Berry,Alpha,TWICE,3
Best,Alpha,동방신기(TVXQ!),1
Best,Alpha,레드벨벳,12
Best,Alpha,세븐틴,1
Best,Alpha,소녀시대,1
Bet,Alpha,BLACKPINK,1
Bet,Alpha,레드벨벳,2
Better,Alpha,BLACKPINK,3
Better,Alpha,TWICE,2
Better,Alpha,방탄소년단,1
Better,Alpha,세븐틴,6
Beyonce,Alpha,2NE1,1
Bi,Alpha,슈퍼주니어,1
Bibilly,Alpha,방탄소년단,1
Big,Alpha,동방신기,1
Big,Alpha,방탄소년단,1
Big,Alpha,빅뱅,9
BigBang,Alpha,빅뱅,1
Bigbang,Alpha,빅뱅,1
Biggest,Alpha,동방신기(TVXQ!),1
Biggest,Alpha,소녀시대,1
Bighit,Alpha,방탄소년단,2
Billboard,Alpha,방탄소년단,1
Billboard,Alpha,원더걸스,1
Billie,Alpha,BLACKPINK,1
Billie,Alpha,레드벨벳,1
Billion,Alpha,2NE1,1
Billis,Alpha,BLACKPINK,1
Bing,Alpha,슈퍼주니어,1
Bingo,Alpha,슈퍼주니어,8
Birthday,Alpha,TWICE,1
Bla,Alpha,TWICE,3
Black,Alpha,BLACKPINK,3
Black,Alpha,동방신기(TVXQ!),1
Black,Alpha,레드벨벳,1
Black,Alpha,방탄소년단,1
Black,Alpha,소녀시대,2
Black,Alpha,슈퍼주니어,11
Blacked,Alpha,BLACKPINK,1
Blacken,Alpha,엑소,1
Blah,Alpha,2NE1,3
Blah,Alpha,세븐틴,5
Blala,Alpha,세븐틴,1
Blanc,Alpha,빅뱅,1
Blanik,Alpha,원더걸스,1
Blast,Alpha,세븐틴,3
