형태소,품사,음원순위,카운트
"
",Foreign,음원순위,2
!,Punctuation,음원순위,281
!),Punctuation,음원순위,31
"""",Punctuation,음원순위,7
&,Punctuation,음원순위,18
',Punctuation,음원순위,402
(,Punctuation,음원순위,424
),Punctuation,음원순위,369
)/,Punctuation,음원순위,4
*,Punctuation,음원순위,17
*(,Punctuation,음원순위,2
**,Punctuation,음원순위,5
*[,Punctuation,음원순위,1
",",Punctuation,음원순위,300
",,",Punctuation,음원순위,1
-,Punctuation,음원순위,276
-),Punctuation,음원순위,1
--,Punctuation,음원순위,6
----,Punctuation,음원순위,2
-----,Punctuation,음원순위,1
.,Punctuation,음원순위,150
.(,Punctuation,음원순위,1
.),Punctuation,음원순위,14
..,Punctuation,음원순위,6
..),Punctuation,음원순위,1
...,Punctuation,음원순위,3
....,Punctuation,음원순위,1
/,Punctuation,음원순위,3
1,Number,음원순위,28
1.2,Number,음원순위,1
100000,Number,음원순위,1
119,Number,음원순위,1
12시,Number,음원순위,2
1:40,Number,음원순위,1
1년,Number,음원순위,2
2,Number,음원순위,49
2008,Number,음원순위,1
2011,Number,음원순위,1
21,Number,음원순위,1
24,Number,음원순위,1
24/7,Number,음원순위,4
24시간,Number,음원순위,1
3,Number,음원순위,9
3.4,Number,음원순위,1
30분,Number,음원순위,1
365,Number,음원순위,2
3분,Number,음원순위,1
3시,Number,음원순위,1
4,Number,음원순위,20
5,Number,음원순위,2
50,Number,음원순위,1
5분,Number,음원순위,1
6,Number,음원순위,1
7,Number,음원순위,1
70억,Number,음원순위,3
88,Number,음원순위,1
8월,Number,음원순위,1
<,Punctuation,음원순위,3
>,Punctuation,음원순위,3
?,Punctuation,음원순위,111
?),Punctuation,음원순위,6
A,Alpha,음원순위,73
AHH,Alpha,음원순위,7
ALRIGHT,Alpha,음원순위,1
AND,Alpha,음원순위,1
AYE,Alpha,음원순위,3
Ah,Alpha,음원순위,90
Aha,Alpha,음원순위,1
Ahh,Alpha,음원순위,12
Ain,Alpha,음원순위,2
All,Alpha,음원순위,23
Alone,Alpha,음원순위,1
Alright,Alpha,음원순위,18
Always,Alpha,음원순위,1
And,Alpha,음원순위,26
Angel,Alpha,음원순위,1
Anpan,Alpha,음원순위,5
Anpanman,Alpha,음원순위,18
Are,Alpha,음원순위,1
As,Alpha,음원순위,1
Athena,Alpha,음원순위,1
Away,Alpha,음원순위,7
Aye,Alpha,음원순위,1
Ayo,Alpha,음원순위,3
Ayy,Alpha,음원순위,1
B,Alpha,음원순위,33
BABE,Alpha,음원순위,10
BABY,Alpha,음원순위,26
BACK,Alpha,음원순위,3
BANG,Alpha,음원순위,24
BB,Alpha,음원순위,2
BEEN,Alpha,음원순위,1
BETTER,Alpha,음원순위,2
BLACKPINK,Alpha,음원순위,3
BODY,Alpha,음원순위,2
BOOM,Alpha,음원순위,5
BOOMSHAKALAKA,Alpha,음원순위,12
BRING,Alpha,음원순위,1
BYE,Alpha,음원순위,1
Ba,Alpha,음원순위,11
Babe,Alpha,음원순위,1
Baby,Alpha,음원순위,91
Back,Alpha,음원순위,6
Bacon,Alpha,음원순위,1
Bad,Alpha,음원순위,10
Bae,Alpha,음원순위,4
Bam,Alpha,음원순위,2
Bang,Alpha,음원순위,5
Batman,Alpha,음원순위,1
Be,Alpha,음원순위,16
Beat,Alpha,음원순위,13
Beautiful,Alpha,음원순위,1
Because,Alpha,음원순위,3
Before,Alpha,음원순위,2
Bet,Alpha,음원순위,2
Better,Alpha,음원순위,2
Beyonce,Alpha,음원순위,1
Big,Alpha,음원순위,4
BigBang,Alpha,음원순위,1
Biggest,Alpha,음원순위,1
Billie,Alpha,음원순위,1
Billion,Alpha,음원순위,1
Birthday,Alpha,음원순위,1
Bla,Alpha,음원순위,3
Black,Alpha,음원순위,2
Blacken,Alpha,음원순위,1
Blow,Alpha,음원순위,9
Body,Alpha,음원순위,4
Bonnie,Alpha,음원순위,1
Boo,Alpha,음원순위,28
Bop,Alpha,음원순위,5
Bow,Alpha,음원순위,8
Boy,Alpha,음원순위,19
Boys,Alpha,음원순위,1
Brand,Alpha,음원순위,3
Break,Alpha,음원순위,1
Brew,Alpha,음원순위,1
Bridge,Alpha,음원순위,1
Bring,Alpha,음원순위,20
Burn,Alpha,음원순위,2
Bust,Alpha,음원순위,1
But,Alpha,음원순위,40
Bye,Alpha,음원순위,1
C,Alpha,음원순위,1
CAN,Alpha,음원순위,3
CATCH,Alpha,음원순위,1
CHAMPAGNE,Alpha,음원순위,1
CHEER,Alpha,음원순위,10
CHIC,Alpha,음원순위,1
CL,Alpha,음원순위,18
COME,Alpha,음원순위,2
COMING,Alpha,음원순위,1
Caffeine,Alpha,음원순위,1
Cake,Alpha,음원순위,5
Calder,Alpha,음원순위,1
Call,Alpha,음원순위,41
Can,Alpha,음원순위,22
Cash,Alpha,음원순위,9
Cause,Alpha,음원순위,18
Champion,Alpha,음원순위,2
Chance,Alpha,음원순위,3
Check,Alpha,음원순위,2
Chocolate,Alpha,음원순위,1
Chorus,Alpha,음원순위,6
Circle,Alpha,음원순위,1
Climax,Alpha,음원순위,1
Clock,Alpha,음원순위,5
Clyde,Alpha,음원순위,1
Coffee,Alpha,음원순위,1
Come,Alpha,음원순위,41
Cool,Alpha,음원순위,3
Cos,Alpha,음원순위,5
Cosmic,Alpha,음원순위,1
Crazy,Alpha,음원순위,5
Cream,Alpha,음원순위,12
Creepin,Alpha,음원순위,1
Creeping,Alpha,음원순위,3
Cup,Alpha,음원순위,1
Cuz,Alpha,음원순위,7
D,Alpha,음원순위,1
DADI,Alpha,음원순위,1
DAN,Alpha,음원순위,40
DANCE,Alpha,음원순위,16
DANGEROUS,Alpha,음원순위,1
DIG,Alpha,음원순위,1
DJ,Alpha,음원순위,3
DNA,Alpha,음원순위,5
DOG,Alpha,음원순위,1
DON,Alpha,음원순위,2
DOWN,Alpha,음원순위,2
Da,Alpha,음원순위,1
Dance,Alpha,음원순위,11
Dancing,Alpha,음원순위,3
Day,Alpha,음원순위,1
Deeper,Alpha,음원순위,1
Depp,Alpha,음원순위,1
Destiny,Alpha,음원순위,1
Devil,Alpha,음원순위,10
Diamond,Alpha,음원순위,1
Didn,Alpha,음원순위,1
Ding,Alpha,음원순위,1
Dirty,Alpha,음원순위,16
Disco,Alpha,음원순위,2
Diving,Alpha,음원순위,2
Do,Alpha,음원순위,19
Doctor,Alpha,음원순위,5
Don,Alpha,음원순위,33
Down,Alpha,음원순위,11
Dream,Alpha,음원순위,1
Dreaming,Alpha,음원순위,1
Drive,Alpha,음원순위,1
Dumb,Alpha,음원순위,34
Dynnnnnanana,Alpha,음원순위,10
E,Alpha,음원순위,67
EXO,Alpha,음원순위,1
Eh,Alpha,음원순위,18
Eldorado,Alpha,음원순위,1
Errbody,Alpha,음원순위,2
Espresso,Alpha,음원순위,1
Every,Alpha,음원순위,6
Everyday,Alpha,음원순위,6
Everything,Alpha,음원순위,1
Excuse,Alpha,음원순위,1
FANTASTIC,Alpha,음원순위,10
FASTER,Alpha,음원순위,2
FIRE,Alpha,음원순위,1
Face,Alpha,음원순위,1
Fake,Alpha,음원순위,21
Falling,Alpha,음원순위,10
Fancy,Alpha,음원순위,9
Fantasy,Alpha,음원순위,3
Favorite,Alpha,음원순위,1
Feel,Alpha,음원순위,7
Feelin,Alpha,음원순위,1
Felt,Alpha,음원순위,1
Fianc,Alpha,음원순위,1
Film,Alpha,음원순위,4
Find,Alpha,음원순위,4
Finito,Alpha,음원순위,3
Fire,Alpha,음원순위,17
First,Alpha,음원순위,1
Follow,Alpha,음원순위,3
For,Alpha,음원순위,4
Forever,Alpha,음원순위,10
Forget,Alpha,음원순위,1
Four,Alpha,음원순위,1
Foxy,Alpha,음원순위,1
Francis,Alpha,음원순위,1
Friend,Alpha,음원순위,1
G,Alpha,음원순위,2
GD,Alpha,음원순위,1
GG,Alpha,음원순위,1
GO,Alpha,음원순위,3
GOD,Alpha,음원순위,1
GOING,Alpha,음원순위,1
GON,Alpha,음원순위,1
GOOD,Alpha,음원순위,1
Game,Alpha,음원순위,2
Gave,Alpha,음원순위,2
Gee,Alpha,음원순위,52
Genie,Alpha,음원순위,18
Get,Alpha,음원순위,4
Gimme,Alpha,음원순위,11
Girl,Alpha,음원순위,23
Girls,Alpha,음원순위,14
Give,Alpha,음원순위,1
Go,Alpha,음원순위,20
Goddess,Alpha,음원순위,1
Going,Alpha,음원순위,2
Good,Alpha,음원순위,2
Got,Alpha,음원순위,2
Gotta,Alpha,음원순위,3
Grab,Alpha,음원순위,2
Guess,Alpha,음원순위,1
H,Alpha,음원순위,2
HERE,Alpha,음원순위,1
HEY,Alpha,음원순위,2
HOLD,Alpha,음원순위,1
HOME,Alpha,음원순위,4
HOOK,Alpha,음원순위,3
HOW,Alpha,음원순위,1
HUH,Alpha,음원순위,2
Ha,Alpha,음원순위,8
Harley,Alpha,음원순위,1
Hate,Alpha,음원순위,8
He,Alpha,음원순위,1
Hear,Alpha,음원순위,1
Heart,Alpha,음원순위,26
Her,Alpha,음원순위,4
Here,Alpha,음원순위,5
Hey,Alpha,음원순위,68
Hi,Alpha,음원순위,2
High,Alpha,음원순위,2
Higher,Alpha,음원순위,2
His,Alpha,음원순위,1
Hit,Alpha,음원순위,5
Ho,Alpha,음원순위,1
Hold,Alpha,음원순위,2
Home,Alpha,음원순위,3
Honey,Alpha,음원순위,4
Hoo,Alpha,음원순위,1
Hot,Alpha,음원순위,1
How,Alpha,음원순위,18
Huh,Alpha,음원순위,6
Hush,Alpha,음원순위,1
I,Alpha,음원순위,763
IF,Alpha,음원순위,13
ILL,Alpha,음원순위,1
IN,Alpha,음원순위,1
IT,Alpha,음원순위,3
Ice,Alpha,음원순위,15
If,Alpha,음원순위,2
Ill,Alpha,음원순위,1
Im,Alpha,음원순위,1
Imma,Alpha,음원순위,3
In,Alpha,음원순위,6
Inside,Alpha,음원순위,1
Irony,Alpha,음원순위,18
Is,Alpha,음원순위,2
It,Alpha,음원순위,57
Its,Alpha,음원순위,1
J,Alpha,음원순위,2
JESUS,Alpha,음원순위,1
JUST,Alpha,음원순위,4
JYP,Alpha,음원순위,1
Jackson,Alpha,음원순위,1
Jane,Alpha,음원순위,1
Jean,Alpha,음원순위,1
Johnny,Alpha,음원순위,1
Jump,Alpha,음원순위,3
Just,Alpha,음원순위,38
K,Alpha,음원순위,3
KILL,Alpha,음원순위,4
KNOW,Alpha,음원순위,1
Karma,Alpha,음원순위,5
Keep,Alpha,음원순위,12
Key,Alpha,음원순위,1
Kill,Alpha,음원순위,1
Killin,Alpha,음원순위,4
King,Alpha,음원순위,1
Kiss,Alpha,음원순위,2
Kissing,Alpha,음원순위,5
Kitchen,Alpha,음원순위,1
Knock,Alpha,음원순위,20
Know,Alpha,음원순위,10
Ko,Alpha,음원순위,10
Kong,Alpha,음원순위,1
L,Alpha,음원순위,1
LADI,Alpha,음원순위,1
LET,Alpha,음원순위,4
LIKE,Alpha,음원순위,13
LOSER,Alpha,음원순위,12
LOVE,Alpha,음원순위,11
La,Alpha,음원순위,76
Ladies,Alpha,음원순위,2
Lalala,Alpha,음원순위,3
Lalalalala,Alpha,음원순위,3
Lately,Alpha,음원순위,1
LeBron,Alpha,음원순위,1
Leave,Alpha,음원순위,1
Left,Alpha,음원순위,1
Lemme,Alpha,음원순위,8
Let,Alpha,음원순위,49
Lets,Alpha,음원순위,2
Life,Alpha,음원순위,2
Light,Alpha,음원순위,3
Like,Alpha,음원순위,5
Likey,Alpha,음원순위,42
Lion,Alpha,음원순위,9
Listen,Alpha,음원순위,5
Look,Alpha,음원순위,16
Looking,Alpha,음원순위,2
Louder,Alpha,음원순위,3
Love,Alpha,음원순위,80
Lovesick,Alpha,음원순위,4
Loving,Alpha,음원순위,2
Lucky,Alpha,음원순위,2
M,Alpha,음원순위,14
MAN,Alpha,음원순위,3
ME,Alpha,음원순위,5
MUSE,Alpha,음원순위,1
Ma,Alpha,음원순위,1
Magic,Alpha,음원순위,2
Magical,Alpha,음원순위,1
Make,Alpha,음원순위,10
Man,Alpha,음원순위,2
Max,Alpha,음원순위,1
Maybe,Alpha,음원순위,2
Mayday,Alpha,음원순위,1
Me,Alpha,음원순위,22
Mi,Alpha,음원순위,2
Michael,Alpha,음원순위,1
Mind,Alpha,음원순위,9
Mirror,Alpha,음원순위,1
Miss,Alpha,음원순위,2
Mister,Alpha,음원순위,3
Money,Alpha,음원순위,7
Mood,Alpha,음원순위,1
More,Alpha,음원순위,15
Motive,Alpha,음원순위,1
Move,Alpha,음원순위,3
Mr,Alpha,음원순위,57
Much,Alpha,음원순위,6
Music,Alpha,음원순위,1
My,Alpha,음원순위,20
N,Alpha,음원순위,2
NE,Alpha,음원순위,11
NO,Alpha,음원순위,2
NOT,Alpha,음원순위,4
Na,Alpha,음원순위,35
Naughty,Alpha,음원순위,6
Never,Alpha,음원순위,3
New,Alpha,음원순위,4
Nice,Alpha,음원순위,1
Night,Alpha,음원순위,1
No,Alpha,음원순위,74
Nobody,Alpha,음원순위,2
Noise,Alpha,음원순위,2
Now,Alpha,음원순위,20
O,Alpha,음원순위,16
OH,Alpha,음원순위,2
OHOHOHOH,Alpha,음원순위,12
OHOHOHOHOHOH,Alpha,음원순위,6
OK,Alpha,음원순위,1
ON,Alpha,음원순위,1
ONE,Alpha,음원순위,1
OOH,Alpha,음원순위,7
OPUS,Alpha,음원순위,1
Ocean,Alpha,음원순위,1
Oh,Alpha,음원순위,211
OhOhOh,Alpha,음원순위,4
OhOhOhOhOh,Alpha,음원순위,4
Ok,Alpha,음원순위,1
Okay,Alpha,음원순위,3
On,Alpha,음원순위,3
One,Alpha,음원순위,17
Only,Alpha,음원순위,9
Ooh,Alpha,음원순위,34
Oooh,Alpha,음원순위,3
Ooooh,Alpha,음원순위,1
Or,Alpha,음원순위,1
Os,Alpha,음원순위,1
Our,Alpha,음원순위,1
Out,Alpha,음원순위,2
Overdose,Alpha,음원순위,9
P,Alpha,음원순위,17
PARTY,Alpha,음원순위,13
PLAY,Alpha,음원순위,2
PRINCESS,Alpha,음원순위,1
Paris,Alpha,음원순위,1
Party,Alpha,음원순위,9
Peaches,Alpha,음원순위,1
Peek,Alpha,음원순위,52
People,Alpha,음원순위,1
Perfect,Alpha,음원순위,1
Perfume,Alpha,음원순위,1
Pink,Alpha,음원순위,1
Pinked,Alpha,음원순위,1
Plain,Alpha,음원순위,1
Plan,Alpha,음원순위,1
Play,Alpha,음원순위,2
Playa,Alpha,음원순위,1
Playboy,Alpha,음원순위,1
Please,Alpha,음원순위,10
Pops,Alpha,음원순위,1
Praying,Alpha,음원순위,1
Pretty,Alpha,음원순위,7
Price,Alpha,음원순위,1
Psycho,Alpha,음원순위,4
Push,Alpha,음원순위,1
Queen,Alpha,음원순위,1
R,Alpha,음원순위,17
RACE,Alpha,음원순위,1
RE,Alpha,음원순위,3
RED,Alpha,음원순위,4
Radio,Alpha,음원순위,1
Rain,Alpha,음원순위,3
Rap,Alpha,음원순위,4
Ratatata,Alpha,음원순위,2
Ready,Alpha,음원순위,3
Real,Alpha,음원순위,2
Red,Alpha,음원순위,1
Repeat,Alpha,음원순위,3
Reset,Alpha,음원순위,1
Restart,Alpha,음원순위,1
Right,Alpha,음원순위,2
Rock,Alpha,음원순위,4
Roly,Alpha,음원순위,1
Roma,Alpha,음원순위,2
Rookie,Alpha,음원순위,14
Round,Alpha,음원순위,2
Run,Alpha,음원순위,9
Runnin,Alpha,음원순위,3
S,Alpha,음원순위,9
SAY,Alpha,음원순위,1
SAYIN,Alpha,음원순위,1
SHOW,Alpha,음원순위,2
SLOW,Alpha,음원순위,2
SO,Alpha,음원순위,2
SONG,Alpha,음원순위,2
STOP,Alpha,음원순위,2
SUNGLASS,Alpha,음원순위,1
Savage,Alpha,음원순위,1
Say,Alpha,음원순위,10
Saying,Alpha,음원순위,1
School,Alpha,음원순위,1
Scream,Alpha,음원순위,1
Secret,Alpha,음원순위,2
See,Alpha,음원순위,2
Seoul,Alpha,음원순위,1
Shakin,Alpha,음원순위,1
Shawty,Alpha,음원순위,19
She,Alpha,음원순위,8
Shimmie,Alpha,음원순위,3
Shine,Alpha,음원순위,3
Shining,Alpha,음원순위,6
Shoes,Alpha,음원순위,1
Shoot,Alpha,음원순위,18
Show,Alpha,음원순위,1
Shut,Alpha,음원순위,2
Sign,Alpha,음원순위,11
Signal,Alpha,음원순위,2
Simple,Alpha,음원순위,15
Sing,Alpha,음원순위,3
Singing,Alpha,음원순위,3
Sky,Alpha,음원순위,3
So,Alpha,음원순위,36
Some,Alpha,음원순위,2
Someone,Alpha,음원순위,6
Sorry,Alpha,음원순위,25
Sound,Alpha,음원순위,3
Stainin,Alpha,음원순위,1
Still,Alpha,음원순위,1
Stop,Alpha,음원순위,1
Story,Alpha,음원순위,1
Such,Alpha,음원순위,2
Summer,Alpha,음원순위,2
Sunrise,Alpha,음원순위,1
Sunshine,Alpha,음원순위,1
Super,Alpha,음원순위,1
Superman,Alpha,음원순위,1
Superstar,Alpha,음원순위,1
Sweeter,Alpha,음원순위,1
Swim,Alpha,음원순위,1
Syrup,Alpha,음원순위,1
T,Alpha,음원순위,25
TAXI,Alpha,음원순위,2
THIS,Alpha,음원순위,6
TT,Alpha,음원순위,12
TWICE,Alpha,음원순위,3
Take,Alpha,음원순위,8
Tatatatata,Alpha,음원순위,2
Tell,Alpha,음원순위,35
Terrific,Alpha,음원순위,1
Test,Alpha,음원순위,1
Than,Alpha,음원순위,5
Thank,Alpha,음원순위,1
That,Alpha,음원순위,8
Thats,Alpha,음원순위,2
The,Alpha,음원순위,6
Then,Alpha,음원순위,2
There,Alpha,음원순위,1
This,Alpha,음원순위,5
Thousand,Alpha,음원순위,3
Thriller,Alpha,음원순위,1
Time,Alpha,음원순위,1
To,Alpha,음원순위,1
Together,Alpha,음원순위,1
Tonight,Alpha,음원순위,22
Too,Alpha,음원순위,6
Top,Alpha,음원순위,1
Touch,Alpha,음원순위,24
Toxic,Alpha,음원순위,2
Trade,Alpha,음원순위,1
Trauma,Alpha,음원순위,1
Trip,Alpha,음원순위,1
Tropical,Alpha,음원순위,1
Trouble,Alpha,음원순위,18
Trust,Alpha,음원순위,1
Truth,Alpha,음원순위,1
Trying,Alpha,음원순위,2
Tryna,Alpha,음원순위,1
Turn,Alpha,음원순위,8
Type,Alpha,음원순위,1
U,Alpha,음원순위,15
UH,Alpha,음원순위,4
UP,Alpha,음원순위,12
Uh,Alpha,음원순위,9
Uhm,Alpha,음원순위,1
Um,Alpha,음원순위,4
Up,Alpha,음원순위,2
Valhalla,Alpha,음원순위,1
Vanilla,Alpha,음원순위,1
Verse,Alpha,음원순위,2
Vinci,Alpha,음원순위,1
Vivaldi,Alpha,음원순위,1
WAIT,Alpha,음원순위,1
WANNA,Alpha,음원순위,6
WE,Alpha,음원순위,15
WHAT,Alpha,음원순위,1
WHATS,Alpha,음원순위,1
WHOA,Alpha,음원순위,2
WOW,Alpha,음원순위,7
WRONG,Alpha,음원순위,1
Waiting,Alpha,음원순위,10
Wake,Alpha,음원순위,2
Walk,Alpha,음원순위,2
Wanna,Alpha,음원순위,6
Want,Alpha,음원순위,1
Watching,Alpha,음원순위,2
We,Alpha,음원순위,32
What,Alpha,음원순위,34
Whatta,Alpha,음원순위,8
When,Alpha,음원순위,2
Whenever,Alpha,음원순위,1
Where,Alpha,음원순위,1
White,Alpha,음원순위,1
Who,Alpha,음원순위,2
Whoa,Alpha,음원순위,2
Whoever,Alpha,음원순위,1
Whoo,Alpha,음원순위,1
Why,Alpha,음원순위,6
Win,Alpha,음원순위,3
Without,Alpha,음원순위,2
Wo,Alpha,음원순위,1
Wonder,Alpha,음원순위,1
Woo,Alpha,음원순위,16
Word,Alpha,음원순위,1
Would,Alpha,음원순위,2
Wow,Alpha,음원순위,1
X,Alpha,음원순위,21
Xs,Alpha,음원순위,1
Y,Alpha,음원순위,15
YE,Alpha,음원순위,11
YEAH,Alpha,음원순위,24
YES,Alpha,음원순위,26
YO,Alpha,음원순위,6
YOU,Alpha,음원순위,25
Ya,Alpha,음원순위,3
Ye,Alpha,음원순위,18
Yea,Alpha,음원순위,14
Yeah,Alpha,음원순위,89
Yes,Alpha,음원순위,2
Yo,Alpha,음원순위,1
York,Alpha,음원순위,1
You,Alpha,음원순위,138
Your,Alpha,음원순위,18
Zero,Alpha,음원순위,5
[,Punctuation,음원순위,54
],Punctuation,음원순위,93
`,Punctuation,음원순위,6
a,Alpha,음원순위,143
about,Alpha,음원순위,26
act,Alpha,음원순위,2
adios,Alpha,음원순위,1
afraid,Alpha,음원순위,5
again,Alpha,음원순위,11
ah,Alpha,음원순위,24
ain,Alpha,음원순위,12
air,Alpha,음원순위,4
alarm,Alpha,음원순위,2
alight,Alpha,음원순위,6
alive,Alpha,음원순위,21
all,Alpha,음원순위,32
alone,Alpha,음원순위,14
along,Alpha,음원순위,2
alright,Alpha,음원순위,7
always,Alpha,음원순위,3
am,Alpha,음원순위,1
amazing,Alpha,음원순위,3
and,Alpha,음원순위,98
another,Alpha,음원순위,4
anymore,Alpha,음원순위,2
aoh,Alpha,음원순위,2
aooh,Alpha,음원순위,2
are,Alpha,음원순위,24
area,Alpha,음원순위,1
around,Alpha,음원순위,3
artist,Alpha,음원순위,1
as,Alpha,음원순위,3
ask,Alpha,음원순위,1
at,Alpha,음원순위,32
away,Alpha,음원순위,30
awesome,Alpha,음원순위,4
ay,Alpha,음원순위,7
ayo,Alpha,음원순위,2
b,Alpha,음원순위,8
ba,Alpha,음원순위,10
babe,Alpha,음원순위,7
baby,Alpha,음원순위,227
back,Alpha,음원순위,23
bad,Alpha,음원순위,33
bae,Alpha,음원순위,1
bag,Alpha,음원순위,1
ball,Alpha,음원순위,1
ballin,Alpha,음원순위,12
banana,Alpha,음원순위,8
bang,Alpha,음원순위,28
banger,Alpha,음원순위,1
bass,Alpha,음원순위,5
be,Alpha,음원순위,99
beat,Alpha,음원순위,9
beautiful,Alpha,음원순위,4
becuz,Alpha,음원순위,1
been,Alpha,음원순위,3
before,Alpha,음원순위,1
believe,Alpha,음원순위,5
best,Alpha,음원순위,1
bet,Alpha,음원순위,1
better,Alpha,음원순위,16
big,Alpha,음원순위,2
bigbang,Alpha,음원순위,2
bird,Alpha,음원순위,1
bish,Alpha,음원순위,2
bitter,Alpha,음원순위,2
black,Alpha,음원순위,2
blakah,Alpha,음원순위,2
bleed,Alpha,음원순위,2
blind,Alpha,음원순위,1
blood,Alpha,음원순위,1
blow,Alpha,음원순위,6
blues,Alpha,음원순위,8
body,Alpha,음원순위,5
bomb,Alpha,음원순위,10
boo,Alpha,음원순위,3
boom,Alpha,음원순위,6
born,Alpha,음원순위,6
boss,Alpha,음원순위,1
bought,Alpha,음원순위,1
bout,Alpha,음원순위,1
boy,Alpha,음원순위,95
boys,Alpha,음원순위,25
brain,Alpha,음원순위,1
break,Alpha,음원순위,2
breakin,Alpha,음원순위,1
breathe,Alpha,음원순위,1
bright,Alpha,음원순위,1
bring,Alpha,음원순위,22
brokenhearted,Alpha,음원순위,1
bum,Alpha,음원순위,32
bump,Alpha,음원순위,6
burn,Alpha,음원순위,8
but,Alpha,음원순위,34
by,Alpha,음원순위,1
bye,Alpha,음원순위,9
call,Alpha,음원순위,14
calm,Alpha,음원순위,1
can,Alpha,음원순위,76
car,Alpha,음원순위,1
care,Alpha,음원순위,31
carpet,Alpha,음원순위,1
cash,Alpha,음원순위,2
catch,Alpha,음원순위,1
cause,Alpha,음원순위,7
celebration,Alpha,음원순위,1
cha,Alpha,음원순위,3
change,Alpha,음원순위,4
chase,Alpha,음원순위,4
check,Alpha,음원순위,3
checkmate,Alpha,음원순위,1
cheeks,Alpha,음원순위,1
cherry,Alpha,음원순위,1
chic,Alpha,음원순위,2
chillin,Alpha,음원순위,1
ching,Alpha,음원순위,2
chocolate,Alpha,음원순위,2
choice,Alpha,음원순위,1
choices,Alpha,음원순위,1
chorus,Alpha,음원순위,7
chrome,Alpha,음원순위,1
city,Alpha,음원순위,7
club,Alpha,음원순위,22
cock,Alpha,음원순위,1
come,Alpha,음원순위,56
comes,Alpha,음원순위,2
comin,Alpha,음원순위,1
coming,Alpha,음원순위,4
commit,Alpha,음원순위,1
compassion,Alpha,음원순위,1
control,Alpha,음원순위,4
cool,Alpha,음원순위,5
cop,Alpha,음원순위,4
could,Alpha,음원순위,7
crack,Alpha,음원순위,1
crazy,Alpha,음원순위,15
cream,Alpha,음원순위,1
creeping,Alpha,음원순위,7
crew,Alpha,음원순위,1
crowd,Alpha,음원순위,1
cry,Alpha,음원순위,6
crystal,Alpha,음원순위,1
cuase,Alpha,음원순위,1
cuz,Alpha,음원순위,9
d,Alpha,음원순위,3
damn,Alpha,음원순위,1
dance,Alpha,음원순위,38
dangerous,Alpha,음원순위,4
dark,Alpha,음원순위,1
darlin,Alpha,음원순위,2
dat,Alpha,음원순위,3
dawn,Alpha,음원순위,1
day,Alpha,음원순위,5
days,Alpha,음원순위,1
ddu,Alpha,음원순위,10
death,Alpha,음원순위,1
decaffein,Alpha,음원순위,1
deeper,Alpha,음원순위,1
definitely,Alpha,음원순위,1
desert,Alpha,음원순위,1
deserve,Alpha,음원순위,2
desperado,Alpha,음원순위,1
destiny,Alpha,음원순위,1
diamond,Alpha,음원순위,3
die,Alpha,음원순위,5
different,Alpha,음원순위,2
dirty,Alpha,음원순위,2
diss,Alpha,음원순위,1
dl,Alpha,음원순위,2
do,Alpha,음원순위,42
doctor,Alpha,음원순위,4
doing,Alpha,음원순위,1
dollar,Alpha,음원순위,1
don,Alpha,음원순위,105
done,Alpha,음원순위,3
dong,Alpha,음원순위,1
dont,Alpha,음원순위,2
door,Alpha,음원순위,21
double,Alpha,음원순위,2
down,Alpha,음원순위,54
dream,Alpha,음원순위,7
drop,Alpha,음원순위,6
drug,Alpha,음원순위,1
drum,Alpha,음원순위,3
du,Alpha,음원순위,15
dumb,Alpha,음원순위,6
dunno,Alpha,음원순위,4
dynamite,Alpha,음원순위,12
e,Alpha,음원순위,62
easy,Alpha,음원순위,2
ego,Alpha,음원순위,1
eh,Alpha,음원순위,33
eheheh,Alpha,음원순위,2
eheheheheh,Alpha,음원순위,8
else,Alpha,음원순위,1
em,Alpha,음원순위,10
end,Alpha,음원순위,2
episode,Alpha,음원순위,1
even,Alpha,음원순위,1
ever,Alpha,음원순위,2
every,Alpha,음원순위,1
everybody,Alpha,음원순위,2
everybodys,Alpha,음원순위,2
everyday,Alpha,음원순위,6
everynight,Alpha,음원순위,1
everythin,Alpha,음원순위,1
everything,Alpha,음원순위,2
everyway,Alpha,음원순위,2
everywhere,Alpha,음원순위,1
excuse,Alpha,음원순위,6
exes,Alpha,음원순위,1
exit,Alpha,음원순위,4
eyes,Alpha,음원순위,2
face,Alpha,음원순위,6
fact,Alpha,음원순위,1
fake,Alpha,음원순위,1
fall,Alpha,음원순위,3
fallin,Alpha,음원순위,4
falling,Alpha,음원순위,15
famous,Alpha,음원순위,1
fan,Alpha,음원순위,1
fancy,Alpha,음원순위,9
fans,Alpha,음원순위,1
far,Alpha,음원순위,1
fashion,Alpha,음원순위,1
fast,Alpha,음원순위,3
fat,Alpha,음원순위,1
fault,Alpha,음원순위,1
favorite,Alpha,음원순위,1
fear,Alpha,음원순위,1
fears,Alpha,음원순위,1
feel,Alpha,음원순위,7
feelin,Alpha,음원순위,1
feeling,Alpha,음원순위,3
feet,Alpha,음원순위,1
fight,Alpha,음원순위,1
fighter,Alpha,음원순위,3
finally,Alpha,음원순위,1
find,Alpha,음원순위,2
fine,Alpha,음원순위,26
finna,Alpha,음원순위,1
fire,Alpha,음원순위,19
first,Alpha,음원순위,1
five,Alpha,음원순위,1
flame,Alpha,음원순위,1
flexin,Alpha,음원순위,1
