형태소,품사,시대별,카운트
5,Number,2016-2020,18
50,Number,2016-2020,1
5분,Number,2003-2009,1
5일,Number,2003-2009,2
5천,Number,2010-2015,1
5천만,Number,2010-2015,1
6,Number,2010-2015,4
6,Number,2016-2020,16
6789,Number,2016-2020,4
6년,Number,2003-2009,1
6년,Number,2010-2015,1
6시,Number,2016-2020,2
6천,Number,2010-2015,1
7,Number,2003-2009,4
7,Number,2010-2015,4
7,Number,2016-2020,12
70억,Number,2016-2020,3
75.5,Number,2016-2020,2
77억,Number,2016-2020,1
7년,Number,2010-2015,2
7년,Number,2016-2020,2
7시,Number,2010-2015,1
7천,Number,2010-2015,3
8,Number,2003-2009,2
8,Number,2010-2015,1
8,Number,2016-2020,15
88,Number,2010-2015,1
8만,Number,2010-2015,1
8분,Number,2016-2020,1
8월,Number,2016-2020,1
9,Number,2010-2015,2
9,Number,2016-2020,41
90,Number,2016-2020,1
99,Number,2010-2015,1
9회,Number,2010-2015,2
9회,Number,2016-2020,1
:,Punctuation,2010-2015,137
:,Punctuation,2016-2020,3
<,Punctuation,2003-2009,10
<,Punctuation,2010-2015,2
=,Punctuation,2003-2009,1
=,Punctuation,2010-2015,3
=,Punctuation,2016-2020,1
>,Punctuation,2003-2009,24
>,Punctuation,2010-2015,7
?,Punctuation,2003-2009,87
?,Punctuation,2010-2015,516
?,Punctuation,2016-2020,307
?!,Punctuation,2003-2009,2
?!,Punctuation,2010-2015,1
"?""",Punctuation,2010-2015,4
?),Punctuation,2003-2009,13
?),Punctuation,2010-2015,26
?),Punctuation,2016-2020,16
?..,Punctuation,2003-2009,1
??,Punctuation,2003-2009,1
?’,Punctuation,2016-2020,1
A,Alpha,2003-2009,10
A,Alpha,2010-2015,83
A,Alpha,2016-2020,91
ABC,Alpha,2010-2015,19
ABC,Alpha,2016-2020,4
AHH,Alpha,2010-2015,7
AHH,Alpha,2016-2020,1
AIRBAG,Alpha,2016-2020,1
ALL,Alpha,2010-2015,11
ALRIGHT,Alpha,2010-2015,1
AND,Alpha,2010-2015,1
AND,Alpha,2016-2020,1
AP,Alpha,2010-2015,2
AP,Alpha,2016-2020,1
ARMY,Alpha,2016-2020,2
AYE,Alpha,2010-2015,3
Aah,Alpha,2010-2015,1
Aah,Alpha,2016-2020,1
Ability,Alpha,2016-2020,1
About,Alpha,2010-2015,1
About,Alpha,2016-2020,3
Ace,Alpha,2016-2020,2
Act,Alpha,2010-2015,2
Acting,Alpha,2016-2020,1
Action,Alpha,2010-2015,3
Action,Alpha,2016-2020,15
Addicted,Alpha,2016-2020,1
Adrenaline,Alpha,2016-2020,2
Afternoon,Alpha,2016-2020,14
Again,Alpha,2016-2020,3
Agust,Alpha,2010-2015,1
Ah,Alpha,2003-2009,34
Ah,Alpha,2010-2015,92
Ah,Alpha,2016-2020,151
Aha,Alpha,2003-2009,1
Aha,Alpha,2010-2015,1
Ahh,Alpha,2010-2015,13
Ahh,Alpha,2016-2020,5
Ahhh,Alpha,2010-2015,1
Ahnana,Alpha,2016-2020,2
Ahora,Alpha,2016-2020,1
Ain,Alpha,2010-2015,2
Ain,Alpha,2016-2020,15
Air,Alpha,2003-2009,2
Akon,Alpha,2010-2015,1
Aladdin,Alpha,2016-2020,1
Alexander,Alpha,2010-2015,2
All,Alpha,2003-2009,57
All,Alpha,2010-2015,23
All,Alpha,2016-2020,242
Alone,Alpha,2010-2015,1
Alright,Alpha,2010-2015,43
Alright,Alpha,2016-2020,15
Always,Alpha,2003-2009,2
Always,Alpha,2010-2015,6
Always,Alpha,2016-2020,9
Am,Alpha,2016-2020,11
Amazing,Alpha,2010-2015,1
America,Alpha,2010-2015,1
Amor,Alpha,2016-2020,3
An,Alpha,2016-2020,1
And,Alpha,2003-2009,15
And,Alpha,2010-2015,60
And,Alpha,2016-2020,79
Andante,Alpha,2010-2015,1
Angel,Alpha,2003-2009,1
Angel,Alpha,2010-2015,1
Angel,Alpha,2016-2020,7
Angry,Alpha,2016-2020,1
Another,Alpha,2010-2015,1
Anpan,Alpha,2016-2020,5
Anpanman,Alpha,2016-2020,18
Anybody,Alpha,2003-2009,18
Anybody,Alpha,2016-2020,1
Anything,Alpha,2016-2020,1
Anytime,Alpha,2016-2020,1
Anyway,Alpha,2016-2020,1
Aow,Alpha,2016-2020,1
Apology,Alpha,2010-2015,10
Appeal,Alpha,2016-2020,1
Are,Alpha,2003-2009,8
Are,Alpha,2010-2015,14
Are,Alpha,2016-2020,37
Arm,Alpha,2016-2020,1
Around,Alpha,2016-2020,1
Arrive,Alpha,2016-2020,2
Artificial,Alpha,2016-2020,20
Artist,Alpha,2010-2015,1
As,Alpha,2003-2009,2
As,Alpha,2016-2020,1
Ashton,Alpha,2016-2020,1
Asian,Alpha,2010-2015,1
At,Alpha,2010-2015,1
At,Alpha,2016-2020,2
Athena,Alpha,2010-2015,1
Atta,Alpha,2016-2020,3
Attaboy,Alpha,2016-2020,3
Attack,Alpha,2010-2015,9
Attention,Alpha,2016-2020,1
Auto,Alpha,2016-2020,1
Automatic,Alpha,2010-2015,12
Automatic,Alpha,2016-2020,2
Awake,Alpha,2016-2020,1
Away,Alpha,2010-2015,7
Awe,Alpha,2010-2015,6
Awoooo,Alpha,2016-2020,1
Awouuuu,Alpha,2010-2015,6
Ay,Alpha,2003-2009,3
Ay,Alpha,2016-2020,41
Aye,Alpha,2016-2020,3
Ayo,Alpha,2010-2015,7
Ayo,Alpha,2016-2020,1
Ayy,Alpha,2016-2020,5
B,Alpha,2003-2009,18
B,Alpha,2010-2015,16
B,Alpha,2016-2020,31
BA,Alpha,2016-2020,6
BAA,Alpha,2016-2020,2
BAAAM,Alpha,2016-2020,1
BABE,Alpha,2010-2015,10
BABY,Alpha,2003-2009,4
BABY,Alpha,2010-2015,41
BABY,Alpha,2016-2020,6
BACK,Alpha,2010-2015,3
BACK,Alpha,2016-2020,37
BAND,Alpha,2016-2020,3
BANG,Alpha,2003-2009,4
BANG,Alpha,2010-2015,28
BANGTAN,Alpha,2010-2015,1
BB,Alpha,2016-2020,2
BEEN,Alpha,2010-2015,1
BETTER,Alpha,2010-2015,2
BIG,Alpha,2003-2009,4
BIGBANG,Alpha,2003-2009,12
BING,Alpha,2010-2015,2
BLACKPINK,Alpha,2016-2020,7
BODY,Alpha,2003-2009,1
BODY,Alpha,2010-2015,2
BOOM,Alpha,2010-2015,5
BOOM,Alpha,2016-2020,12
BOOMBAYAH,Alpha,2016-2020,8
BOOMSHAKALAKA,Alpha,2010-2015,12
BOTTOM,Alpha,2016-2020,1
BPM,Alpha,2010-2015,1
BREATH,Alpha,2016-2020,1
BRING,Alpha,2010-2015,1
BRRR,Alpha,2016-2020,2
BRRRR,Alpha,2016-2020,3
BRRRRRR,Alpha,2016-2020,1
BRUTA,Alpha,2016-2020,1
BTS,Alpha,2010-2015,5
BTS,Alpha,2016-2020,2
BUT,Alpha,2010-2015,6
BUT,Alpha,2016-2020,2
BYE,Alpha,2010-2015,7
Ba,Alpha,2016-2020,13
Babe,Alpha,2010-2015,16
Babe,Alpha,2016-2020,14
Baboom,Alpha,2010-2015,12
Baby,Alpha,2003-2009,48
Baby,Alpha,2010-2015,332
Baby,Alpha,2016-2020,302
Back,Alpha,2003-2009,1
Back,Alpha,2010-2015,66
Back,Alpha,2016-2020,30
Bacon,Alpha,2010-2015,1
Bad,Alpha,2003-2009,4
Bad,Alpha,2010-2015,12
Bad,Alpha,2016-2020,18
Badadadadadadum,Alpha,2010-2015,1
Badda,Alpha,2016-2020,1
Bae,Alpha,2016-2020,4
Bake,Alpha,2016-2020,1
Ball,Alpha,2010-2015,1
Balloons,Alpha,2016-2020,1
Bam,Alpha,2010-2015,2
Bang,Alpha,2010-2015,20
Bang,Alpha,2016-2020,2
Banger,Alpha,2003-2009,7
Bap,Alpha,2016-2020,1
Base,Alpha,2016-2020,1
Basically,Alpha,2016-2020,1
Bass,Alpha,2010-2015,1
Bass,Alpha,2016-2020,2
Batman,Alpha,2016-2020,1
Be,Alpha,2003-2009,13
Be,Alpha,2010-2015,22
Be,Alpha,2016-2020,13
Beat,Alpha,2010-2015,4
Beat,Alpha,2016-2020,26
Beautiful,Alpha,2003-2009,1
Beautiful,Alpha,2010-2015,59
Beautiful,Alpha,2016-2020,14
Beauty,Alpha,2003-2009,2
Because,Alpha,2003-2009,7
Because,Alpha,2010-2015,5
Because,Alpha,2016-2020,26
Been,Alpha,2016-2020,2
Beep,Alpha,2010-2015,1
Beep,Alpha,2016-2020,1
Before,Alpha,2010-2015,2
Before,Alpha,2016-2020,1
Behind,Alpha,2016-2020,5
Believe,Alpha,2010-2015,1
Believe,Alpha,2016-2020,3
Believer,Alpha,2016-2020,7
Berry,Alpha,2016-2020,3
Best,Alpha,2010-2015,6
Best,Alpha,2016-2020,9
Bet,Alpha,2016-2020,3
Better,Alpha,2010-2015,2
Better,Alpha,2016-2020,10
Beyonce,Alpha,2010-2015,1
Bi,Alpha,2016-2020,1
Bibilly,Alpha,2016-2020,1
Big,Alpha,2003-2009,6
Big,Alpha,2010-2015,4
Big,Alpha,2016-2020,1
BigBang,Alpha,2003-2009,1
Bigbang,Alpha,2003-2009,1
Biggest,Alpha,2003-2009,1
Biggest,Alpha,2010-2015,1
Bighit,Alpha,2010-2015,2
Billboard,Alpha,2010-2015,1
Billboard,Alpha,2016-2020,1
Billie,Alpha,2010-2015,1
Billie,Alpha,2016-2020,1
Billion,Alpha,2010-2015,1
Billis,Alpha,2016-2020,1
Bing,Alpha,2010-2015,1
Bingo,Alpha,2010-2015,8
Birthday,Alpha,2016-2020,1
Bla,Alpha,2010-2015,3
Black,Alpha,2010-2015,10
Black,Alpha,2016-2020,9
Blacked,Alpha,2016-2020,1
Blacken,Alpha,2016-2020,1
Blah,Alpha,2010-2015,3
Blah,Alpha,2016-2020,5
Blala,Alpha,2016-2020,1
Blanc,Alpha,2010-2015,1
Blanik,Alpha,2010-2015,1
Blast,Alpha,2016-2020,3
Bless,Alpha,2010-2015,1
Blindin,Alpha,2016-2020,7
Bling,Alpha,2003-2009,1
Blow,Alpha,2003-2009,2
Blow,Alpha,2010-2015,10
Blow,Alpha,2016-2020,3
Blowin,Alpha,2016-2020,2
Blue,Alpha,2016-2020,4
BoA,Alpha,2003-2009,1
Bob,Alpha,2016-2020,9
Body,Alpha,2003-2009,1
Body,Alpha,2010-2015,6
Body,Alpha,2016-2020,7
Bold,Alpha,2010-2015,1
Bomb,Alpha,2016-2020,2
Bonnie,Alpha,2016-2020,1
Boo,Alpha,2003-2009,1
Boo,Alpha,2010-2015,3
Boo,Alpha,2016-2020,30
Booh,Alpha,2016-2020,1
Boom,Alpha,2003-2009,2
Boom,Alpha,2010-2015,65
Boom,Alpha,2016-2020,27
Boomerang,Alpha,2016-2020,8
Booming,Alpha,2010-2015,1
Boon,Alpha,2016-2020,2
Bop,Alpha,2016-2020,5
Born,Alpha,2016-2020,1
Bounce,Alpha,2010-2015,31
Bounce,Alpha,2016-2020,57
Bow,Alpha,2010-2015,1
Bow,Alpha,2016-2020,8
Boxed,Alpha,2016-2020,1
Boxing,Alpha,2016-2020,1
Boy,Alpha,2003-2009,6
Boy,Alpha,2010-2015,90
Boy,Alpha,2016-2020,22
Boyfriend,Alpha,2003-2009,22
Boys,Alpha,2003-2009,1
Boys,Alpha,2010-2015,4
Boys,Alpha,2016-2020,2
Brake,Alpha,2016-2020,1
Brand,Alpha,2003-2009,1
Brand,Alpha,2010-2015,5
Brazil,Alpha,2016-2020,2
Break,Alpha,2003-2009,15
Break,Alpha,2010-2015,10
Break,Alpha,2016-2020,13
Breakthrough,Alpha,2016-2020,6
Breathe,Alpha,2016-2020,11
Brew,Alpha,2016-2020,1
Bridge,Alpha,2003-2009,3
Bright,Alpha,2016-2020,1
Bring,Alpha,2010-2015,21
Bring,Alpha,2016-2020,48
Broken,Alpha,2016-2020,1
Brooch,Alpha,2010-2015,1
Broong,Alpha,2016-2020,2
Brother,Alpha,2016-2020,1
Brr,Alpha,2010-2015,10
Brr,Alpha,2016-2020,13
Brrr,Alpha,2016-2020,2
Brrrr,Alpha,2016-2020,1
Brrrrr,Alpha,2016-2020,3
Brrrrrrata,Alpha,2016-2020,1
Brunch,Alpha,2010-2015,1
Bu,Alpha,2016-2020,3
Buddy,Alpha,2016-2020,4
Build,Alpha,2010-2015,2
Build,Alpha,2016-2020,3
Bullet,Alpha,2016-2020,2
Bulletproof,Alpha,2010-2015,4
Bum,Alpha,2010-2015,3
Bum,Alpha,2016-2020,5
Bump,Alpha,2010-2015,10
Bunny,Alpha,2010-2015,14
Buona,Alpha,2016-2020,1
Burn,Alpha,2010-2015,3
Burn,Alpha,2016-2020,16
Business,Alpha,2016-2020,1
Bust,Alpha,2003-2009,1
Busy,Alpha,2010-2015,1
But,Alpha,2003-2009,20
But,Alpha,2010-2015,35
But,Alpha,2016-2020,100
Butterflies,Alpha,2016-2020,7
Butterfly,Alpha,2010-2015,10
By,Alpha,2003-2009,3
By,Alpha,2016-2020,5
Bye,Alpha,2003-2009,15
Bye,Alpha,2010-2015,1
Bye,Alpha,2016-2020,3
C,Alpha,2003-2009,4
C,Alpha,2010-2015,20
C,Alpha,2016-2020,3
CAN,Alpha,2010-2015,3
CATCH,Alpha,2010-2015,1
CD,Alpha,2010-2015,2
CHAMPAGNE,Alpha,2010-2015,3
CHANCE,Alpha,2010-2015,12
CHEER,Alpha,2016-2020,10
CHIC,Alpha,2010-2015,1
CL,Alpha,2003-2009,10
CL,Alpha,2010-2015,16
COME,Alpha,2003-2009,2
COME,Alpha,2010-2015,2
COME,Alpha,2016-2020,35
COMIN,Alpha,2016-2020,2
COMING,Alpha,2010-2015,1
COOL,Alpha,2010-2015,1
COUPS,Alpha,2016-2020,1
CRAZY,Alpha,2016-2020,1
CRY,Alpha,2010-2015,9
CUZ,Alpha,2016-2020,2
Caffeine,Alpha,2010-2015,1
Cake,Alpha,2010-2015,5
Calder,Alpha,2010-2015,1
Cali,Alpha,2016-2020,1
Call,Alpha,2003-2009,6
Call,Alpha,2010-2015,40
Call,Alpha,2016-2020,7
Calm,Alpha,2016-2020,1
Camera,Alpha,2016-2020,3
Campfire,Alpha,2010-2015,13
Can,Alpha,2003-2009,6
Can,Alpha,2010-2015,72
Can,Alpha,2016-2020,59
Candle,Alpha,2010-2015,3
Candy,Alpha,2010-2015,14
Candy,Alpha,2016-2020,2
Caramel,Alpha,2010-2015,4
Carat,Alpha,2010-2015,3
Cardi,Alpha,2016-2020,2
Careless,Alpha,2010-2015,3
Carrot,Alpha,2016-2020,1
Casa,Alpha,2016-2020,6
Cash,Alpha,2003-2009,10
Cassiopeia,Alpha,2010-2015,1
Cassius,Alpha,2010-2015,1
Catch,Alpha,2010-2015,22
Catch,Alpha,2016-2020,7
Caucasian,Alpha,2010-2015,1
Caught,Alpha,2016-2020,6
Cause,Alpha,2003-2009,23
Cause,Alpha,2010-2015,31
Cause,Alpha,2016-2020,48
Chaeyoung,Alpha,2016-2020,6
Chal,Alpha,2016-2020,6
Champagne,Alpha,2016-2020,4
Champion,Alpha,2010-2015,2
Chance,Alpha,2010-2015,6
Chances,Alpha,2016-2020,1
Chanel,Alpha,2010-2015,1
Change,Alpha,2010-2015,1
Change,Alpha,2016-2020,80
Chapter,Alpha,2016-2020,1
Charge,Alpha,2016-2020,1
Chase,Alpha,2016-2020,3
Chasing,Alpha,2016-2020,5
Chateau,Alpha,2016-2020,5
Check,Alpha,2010-2015,52
Check,Alpha,2016-2020,3
Checkin,Alpha,2016-2020,2
Cheer,Alpha,2016-2020,1
Chemistry,Alpha,2016-2020,1
Cherry,Alpha,2010-2015,1
Chic,Alpha,2010-2015,2
Chill,Alpha,2016-2020,6
Chilli,Alpha,2016-2020,2
Chillin,Alpha,2016-2020,2
Chocolate,Alpha,2003-2009,2
Chocolate,Alpha,2010-2015,1
Chocolate,Alpha,2016-2020,3
Chorus,Alpha,2003-2009,17
Chou,Alpha,2010-2015,3
Christ,Alpha,2003-2009,1
Christmas,Alpha,2010-2015,11
Christmas,Alpha,2016-2020,2
Chronic,Alpha,2010-2015,1
Circle,Alpha,2010-2015,1
Circle,Alpha,2016-2020,13
Circus,Alpha,2010-2015,1
City,Alpha,2010-2015,5
City,Alpha,2016-2020,5
Clack,Alpha,2016-2020,1
Clap,Alpha,2010-2015,5
Clap,Alpha,2016-2020,58
Click,Alpha,2010-2015,8
Click,Alpha,2016-2020,4
Climax,Alpha,2010-2015,1
Clock,Alpha,2016-2020,5
Close,Alpha,2010-2015,1
Close,Alpha,2016-2020,10
Closer,Alpha,2010-2015,6
Cloud,Alpha,2016-2020,1
Clover,Alpha,2016-2020,1
Clyde,Alpha,2016-2020,1
Co,Alpha,2016-2020,10
Coffee,Alpha,2010-2015,2
Coffee,Alpha,2016-2020,1
Coldest,Alpha,2016-2020,2
Cole,Alpha,2010-2015,1
Color,Alpha,2016-2020,1
Come,Alpha,2003-2009,24
Come,Alpha,2010-2015,87
Come,Alpha,2016-2020,69
Comeon,Alpha,2003-2009,1
Coming,Alpha,2010-2015,1
Coming,Alpha,2016-2020,1
Commedes,Alpha,2010-2015,1
Como,Alpha,2010-2015,1
Connection,Alpha,2016-2020,1
Conquer,Alpha,2016-2020,1
Control,Alpha,2003-2009,3
Converse,Alpha,2010-2015,1
Cool,Alpha,2003-2009,3
Cool,Alpha,2010-2015,41
Cool,Alpha,2016-2020,27
Cos,Alpha,2016-2020,5
Cosmic,Alpha,2010-2015,1
Could,Alpha,2016-2020,2
Count,Alpha,2010-2015,2
Countdown,Alpha,2016-2020,1
Coup,Alpha,2010-2015,1
Coups,Alpha,2010-2015,1
Cra,Alpha,2016-2020,1
Crash,Alpha,2010-2015,1
Crawl,Alpha,2016-2020,1
Crazy,Alpha,2003-2009,4
Crazy,Alpha,2010-2015,8
Crazy,Alpha,2016-2020,32
Cream,Alpha,2010-2015,15
Cream,Alpha,2016-2020,1
Created,Alpha,2016-2020,1
Creepin,Alpha,2016-2020,1
Creeping,Alpha,2016-2020,3
Criminal,Alpha,2010-2015,1
Cross,Alpha,2016-2020,2
Cruel,Alpha,2016-2020,1
Crush,Alpha,2010-2015,4
Cry,Alpha,2010-2015,4
Cry,Alpha,2016-2020,3
Ctrl,Alpha,2010-2015,2
Cup,Alpha,2016-2020,1
Cupid,Alpha,2010-2015,8
Cupid,Alpha,2016-2020,1
Curve,Alpha,2016-2020,1
Cut,Alpha,2003-2009,2
Cut,Alpha,2010-2015,1
Cut,Alpha,2016-2020,4
Cuz,Alpha,2010-2015,21
Cuz,Alpha,2016-2020,46
Cypher,Alpha,2010-2015,2
D,Alpha,2003-2009,5
D,Alpha,2010-2015,23
D,Alpha,2016-2020,30
DADI,Alpha,2010-2015,1
DAN,Alpha,2010-2015,40
DANCE,Alpha,2010-2015,18
DANGEROUS,Alpha,2010-2015,1
DANS,Alpha,2016-2020,1
DAY,Alpha,2010-2015,6
DEJAVU,Alpha,2016-2020,6
DIDN,Alpha,2010-2015,2
DIG,Alpha,2010-2015,1
DJ,Alpha,2003-2009,1
DJ,Alpha,2010-2015,19
DJ,Alpha,2016-2020,1
