형태소,품사,시대별,카운트
걸어가지만,Verb,2016-2020,1
걸어갈,Verb,2010-2015,1
걸어갈,Verb,2016-2020,4
걸어갈게,Verb,2016-2020,1
걸어갈래,Verb,2010-2015,1
걸어갔던,Verb,2003-2009,2
걸어놓은,Verb,2010-2015,1
걸어다니지,Verb,2010-2015,1
걸어도,Verb,2010-2015,2
걸어서,Verb,2016-2020,1
걸어야,Verb,2010-2015,1
걸어야만,Verb,2016-2020,1
걸어오는,Verb,2003-2009,2
걸어오는,Verb,2010-2015,2
걸어온,Verb,2010-2015,1
걸어온,Verb,2016-2020,4
걸어온다,Verb,2010-2015,1
걸어온다,Verb,2016-2020,1
걸어와,Verb,2003-2009,1
걸어와,Verb,2010-2015,1
걸어와,Verb,2016-2020,1
걸어왔던,Verb,2010-2015,2
걸어왔어,Verb,2010-2015,1
걸어왔었다면,Verb,2003-2009,1
걸어요,Verb,2003-2009,2
걸어요,Verb,2010-2015,6
걸어요,Verb,2016-2020,1
걸어줘,Verb,2016-2020,3
걸어지네,Verb,2010-2015,1
걸었다,Verb,2010-2015,1
걸었던,Verb,2016-2020,5
걸었어,Verb,2010-2015,3
걸었어,Verb,2016-2020,4
걸었었는데,Verb,2016-2020,2
걸었으니,Verb,2003-2009,1
걸었죠,Verb,2003-2009,2
걸었지,Verb,2016-2020,1
걸었지만,Verb,2016-2020,1
걸으며,Verb,2010-2015,1
걸으면,Verb,2003-2009,3
걸으면,Verb,2010-2015,4
걸을게,Verb,2010-2015,1
걸을게,Verb,2016-2020,1
걸을래,Verb,2010-2015,3
걸음,Noun,2003-2009,9
걸음,Noun,2010-2015,41
걸음,Noun,2016-2020,51
걸음걸이,Noun,2003-2009,1
걸음걸이,Noun,2010-2015,3
걸음걸이,Noun,2016-2020,4
걸이,Noun,2003-2009,1
걸일,Noun,2016-2020,2
걸지,Verb,2016-2020,1
걸쳐,Verb,2010-2015,3
걸쳐도,Verb,2016-2020,1
걸쳐있는데,Verb,2010-2015,1
걸쳤다고,Verb,2016-2020,1
걸쳤지만,Verb,2016-2020,1
걸치든,Verb,2016-2020,1
검,Noun,2010-2015,2
검,Noun,2016-2020,1
검게,Adjective,2003-2009,1
검게,Adjective,2010-2015,4
검게,Adjective,2016-2020,2
검색,Noun,2010-2015,1
검어지고,Verb,2010-2015,1
검은,Adjective,2003-2009,4
검은,Adjective,2010-2015,5
검은,Adjective,2016-2020,4
검은색,Noun,2010-2015,1
검은색,Noun,2016-2020,2
검정,Noun,2010-2015,1
검지,Noun,2010-2015,1
겁,Noun,2003-2009,7
겁,Noun,2010-2015,33
겁,Noun,2016-2020,44
겁겁겁,Noun,2016-2020,1
겁나,Verb,2010-2015,23
겁나,Verb,2016-2020,4
겁나게,Verb,2010-2015,1
겁나는,Verb,2016-2020,1
겁나지,Verb,2010-2015,1
겁나지,Verb,2016-2020,1
겁낼,Noun,2016-2020,2
겁니다,Verb,2010-2015,1
겁쟁이,Noun,2003-2009,1
겁쟁이,Noun,2010-2015,4
것,Noun,2003-2009,175
것,Noun,2010-2015,392
것,Noun,2016-2020,452
것띠,Noun,2010-2015,1
것일,Noun,2010-2015,3
것일,Noun,2016-2020,1
것임,Noun,2003-2009,1
겉,Noun,2003-2009,1
겉,Noun,2010-2015,6
겉,Noun,2016-2020,4
겉도,Noun,2010-2015,3
겉도,Noun,2016-2020,1
겉모습,Noun,2010-2015,1
겉보기,Noun,2010-2015,1
겉옷,Noun,2016-2020,1
겉잡,Noun,2010-2015,1
게,Josa,2003-2009,73
게,Josa,2010-2015,257
게,Josa,2016-2020,203
게,Noun,2003-2009,41
게,Noun,2010-2015,193
게,Noun,2016-2020,247
게로,Noun,2003-2009,1
게로,Noun,2016-2020,5
게릴라,Noun,2010-2015,1
게선,Noun,2003-2009,1
게으른,Adjective,2003-2009,1
게을러,Adjective,2016-2020,1
게을러도,Adjective,2010-2015,1
게을러지면,Adjective,2016-2020,1
게임,Noun,2003-2009,7
게임,Noun,2010-2015,15
게임,Noun,2016-2020,17
겐,Noun,2016-2020,1
겠니,Verb,2010-2015,1
겠어,Verb,2010-2015,1
겠죠,Verb,2003-2009,3
겠죠,Verb,2016-2020,3
겠지,Verb,2003-2009,1
겠지,Verb,2016-2020,5
겠지만,Verb,2003-2009,1
겠지만,Verb,2010-2015,1
겠지만,Verb,2016-2020,1
겨,Noun,2003-2009,1
겨,Noun,2010-2015,9
겨,Noun,2016-2020,4
겨냥,Noun,2010-2015,1
겨냥,Noun,2016-2020,1
겨누,Noun,2010-2015,3
겨눈,Noun,2010-2015,2
겨눈,Noun,2016-2020,4
겨눠,Noun,2016-2020,3
겨오는,Verb,2003-2009,1
겨오는,Verb,2010-2015,2
겨오는,Verb,2016-2020,1
겨우,Noun,2010-2015,14
겨우,Noun,2016-2020,19
겨운,Verb,2010-2015,1
겨울,Noun,2003-2009,7
겨울,Noun,2010-2015,22
겨울,Noun,2016-2020,52
겨워,Verb,2003-2009,2
겨워,Verb,2010-2015,6
겨져,Verb,2003-2009,1
겨져,Verb,2010-2015,1
겨주던,Verb,2003-2009,2
겨줘,Verb,2016-2020,1
겨지지,Verb,2016-2020,1
격,Noun,2016-2020,4
격렬하게,Adjective,2010-2015,1
격정,Noun,2010-2015,1
격해진,Adjective,2010-2015,3
겪던,Verb,2010-2015,1
겪어,Verb,2010-2015,2
견고하게,Adjective,2010-2015,1
견고해진,Adjective,2016-2020,1
견뎌,Verb,2003-2009,5
견뎌,Verb,2010-2015,5
견뎌,Verb,2016-2020,4
견뎠어,Verb,2010-2015,1
견디게,Verb,2016-2020,3
견디고,Verb,2016-2020,2
견디는,Verb,2010-2015,1
견디던,Verb,2003-2009,1
견디면,Verb,2010-2015,2
견디지,Verb,2003-2009,1
견딜,Verb,2003-2009,8
견딜,Verb,2010-2015,5
견딜,Verb,2016-2020,7
견딜만,Verb,2016-2020,1
견딜수,Verb,2003-2009,1
견딜수가,Verb,2003-2009,1
견딜지,Verb,2010-2015,1
견인,Noun,2010-2015,1
견적,Noun,2010-2015,1
결,Noun,2010-2015,2
결,Noun,2016-2020,1
결격,Noun,2010-2015,1
결과,Noun,2010-2015,1
결과,Noun,2016-2020,1
결관,Noun,2010-2015,1
결관,Noun,2016-2020,1
결국,Adverb,2003-2009,10
결국,Adverb,2010-2015,32
결국,Adverb,2016-2020,57
결론,Noun,2010-2015,3
결론,Noun,2016-2020,6
결말,Noun,2003-2009,1
결말,Noun,2010-2015,1
결말,Noun,2016-2020,3
결백,Noun,2016-2020,1
결승선,Noun,2016-2020,3
결심,Noun,2016-2020,3
결점,Noun,2010-2015,2
결정,Noun,2010-2015,1
결정,Noun,2016-2020,3
결코,Noun,2010-2015,3
결투,Noun,2010-2015,1
결혼,Noun,2003-2009,2
결혼,Noun,2010-2015,1
겸손한,Adjective,2003-2009,1
겸손한,Adjective,2010-2015,2
겹,Noun,2016-2020,3
겹겹이,Noun,2010-2015,3
겹겹이,Noun,2016-2020,1
겹친,Noun,2016-2020,1
겹칠,Noun,2016-2020,2
겼어,Verb,2016-2020,1
경계,Noun,2010-2015,2
경계,Noun,2016-2020,5
경곌,Noun,2016-2020,1
경고,Noun,2010-2015,9
경고,Noun,2016-2020,6
경배,Noun,2010-2015,1
경보,Noun,2010-2015,1
경상도,Noun,2010-2015,9
경솔하게,Adjective,2003-2009,1
경솔했던,Adjective,2010-2015,1
경쟁,Noun,2016-2020,1
경적,Noun,2010-2015,1
경주,Noun,2016-2020,1
경지,Noun,2010-2015,1
경찰,Noun,2010-2015,2
경찰,Noun,2016-2020,1
경험,Noun,2003-2009,1
경험,Noun,2010-2015,3
곁,Noun,2003-2009,124
곁,Noun,2010-2015,121
곁,Noun,2016-2020,131
곁가지,Noun,2016-2020,1
곁눈질,Noun,2010-2015,1
계,Suffix,2010-2015,5
계급,Noun,2010-2015,1
계단,Noun,2016-2020,2
계략,Noun,2003-2009,1
계모,Noun,2003-2009,1
계산,Noun,2003-2009,4
계산,Noun,2010-2015,1
계산,Noun,2016-2020,3
계산법,Noun,2010-2015,1
계속,Noun,2003-2009,34
계속,Noun,2010-2015,69
계속,Noun,2016-2020,111
계신다면,Adjective,2016-2020,1
계약서,Noun,2010-2015,1
계절,Noun,2003-2009,9
계절,Noun,2010-2015,11
계절,Noun,2016-2020,31
계주,Noun,2010-2015,1
계획,Noun,2003-2009,1
계획,Noun,2010-2015,1
계획,Noun,2016-2020,6
곈,Noun,2010-2015,1
고,Josa,2003-2009,108
고,Josa,2010-2015,194
고,Josa,2016-2020,181
고,Modifier,2003-2009,1
고,Modifier,2010-2015,4
고,Modifier,2016-2020,3
고,Noun,2003-2009,6
고,Noun,2010-2015,32
고,Noun,2016-2020,14
고개,Noun,2003-2009,5
고개,Noun,2010-2015,13
고개,Noun,2016-2020,25
고기,Noun,2003-2009,1
고난,Noun,2003-2009,1
고뇌,Noun,2010-2015,1
고니,Noun,2010-2015,2
고단,Noun,2003-2009,1
고달팠어,Adjective,2003-2009,1
고도,Noun,2010-2015,1
고독,Noun,2003-2009,1
고돌고,Noun,2010-2015,2
고딩,Noun,2016-2020,2
고라,Noun,2010-2015,1
고래,Noun,2010-2015,7
고르고,Verb,2016-2020,2
고르기만,Verb,2016-2020,1
고르면,Verb,2016-2020,1
고른,Verb,2010-2015,1
고른,Verb,2016-2020,1
고른다,Verb,2016-2020,1
고를,Verb,2010-2015,1
고를,Verb,2016-2020,2
고를지,Verb,2016-2020,2
고리,Noun,2010-2015,1
고마,Noun,2003-2009,1
고마,Noun,2010-2015,1
고마운,Adjective,2003-2009,7
고마운,Adjective,2010-2015,4
고마운지,Adjective,2016-2020,1
고마울,Adjective,2010-2015,1
고마움,Noun,2003-2009,2
고마움,Noun,2016-2020,2
고마워,Adjective,2003-2009,8
고마워,Adjective,2010-2015,11
고마워,Adjective,2016-2020,16
고마워요,Adjective,2003-2009,1
고마워요,Adjective,2010-2015,1
고마웠는지,Adjective,2016-2020,1
고마웠어,Adjective,2010-2015,2
고막,Noun,2010-2015,2
고만,Eomi,2010-2015,3
고만고만해,Adjective,2010-2015,1
고맙고,Adjective,2003-2009,1
고맙고,Adjective,2010-2015,1
고맙고,Adjective,2016-2020,1
고맙다,Adjective,2010-2015,1
고맙다,Adjective,2016-2020,15
고맙다고,Adjective,2003-2009,2
고맙다고,Adjective,2016-2020,1
고맙다는,Adjective,2010-2015,3
고맙다는,Adjective,2016-2020,1
고맙단,Adjective,2016-2020,2
고민,Noun,2003-2009,19
고민,Noun,2010-2015,32
고민,Noun,2016-2020,90
고백,Noun,2003-2009,17
고백,Noun,2010-2015,31
고백,Noun,2016-2020,19
고비,Noun,2010-2015,1
고삐,Noun,2010-2015,1
고삐,Noun,2016-2020,2
고생,Noun,2010-2015,3
고서,Noun,2003-2009,2
고서,Noun,2010-2015,10
고서,Noun,2016-2020,5
고소영,Noun,2003-2009,1
고소해,Adjective,2016-2020,1
고수,Noun,2010-2015,1
고스,Noun,2003-2009,1
고양이,Noun,2003-2009,1
고양이,Noun,2016-2020,1
고여,Noun,2010-2015,5
고여,Noun,2016-2020,4
고엽,Noun,2010-2015,2
고요,Noun,2010-2015,3
고요한,Noun,2010-2015,1
고요한,Noun,2016-2020,8
고요함,Noun,2010-2015,3
고요해,Adjective,2010-2015,2
고요해,Adjective,2016-2020,1
고요해진,Adjective,2016-2020,1
고요했던,Adjective,2016-2020,3
고운,Adjective,2010-2015,2
고이,Noun,2003-2009,1
고이,Noun,2016-2020,1
고인,Noun,2003-2009,1
고인,Noun,2010-2015,7
고인,Noun,2016-2020,2
고작,Noun,2010-2015,12
고작,Noun,2016-2020,4
고장,Noun,2003-2009,2
고장,Noun,2010-2015,5
고장,Noun,2016-2020,4
고정,Noun,2010-2015,7
고정,Noun,2016-2020,4
고조,Noun,2010-2015,1
고조,Noun,2016-2020,1
고지,Noun,2010-2015,1
고집,Noun,2003-2009,3
고집,Noun,2010-2015,4
고쳐,Verb,2003-2009,1
고쳐,Verb,2010-2015,2
고쳐,Verb,2016-2020,1
고쳐놨지,Verb,2010-2015,1
고쳤니,Verb,2010-2015,1
고치,Noun,2010-2015,2
고치,Noun,2016-2020,1
고침,Verb,2010-2015,1
고통,Noun,2003-2009,8
고통,Noun,2010-2015,8
고통,Noun,2016-2020,14
고파,Adjective,2003-2009,2
고파,Adjective,2010-2015,14
고파,Adjective,2016-2020,10
고프고,Adjective,2010-2015,1
고픈,Adjective,2003-2009,4
고픈,Adjective,2010-2015,3
고픈,Adjective,2016-2020,7
고픈데,Adjective,2016-2020,1
고플,Adjective,2010-2015,1
고플,Adjective,2016-2020,1
고플까,Adjective,2016-2020,2
고함,Noun,2010-2015,1
고해,Noun,2016-2020,1
고향이,Noun,2010-2015,1
곡,Noun,2010-2015,5
곤,Noun,2003-2009,1
곤,Noun,2010-2015,3
곤,Noun,2016-2020,3
곤란,Noun,2003-2009,1
곤란해,Adjective,2010-2015,1
곧,Noun,2003-2009,3
곧,Noun,2010-2015,13
곧,Noun,2016-2020,22
곧바로,Noun,2016-2020,1
곧이,Adverb,2003-2009,1
곧이곧대로,Noun,2010-2015,1
곧장,Noun,2010-2015,2
곧장,Noun,2016-2020,1
골,Noun,2003-2009,1
골,Noun,2010-2015,1
골,Noun,2016-2020,2
골대,Noun,2010-2015,1
골드,Noun,2010-2015,2
골라,Verb,2010-2015,11
골라,Verb,2016-2020,11
골랐어,Verb,2016-2020,1
골목,Noun,2010-2015,2
골목길,Noun,2003-2009,1
골목길,Noun,2010-2015,1
골반,Noun,2010-2015,1
골백번,Noun,2010-2015,1
골인,Noun,2010-2015,1
골치,Noun,2010-2015,2
곰,Noun,2010-2015,2
곰팡이,Noun,2016-2020,1
곱,Noun,2010-2015,1
곱,Noun,2016-2020,2
곱냐고,Adjective,2010-2015,1
곱다,Adjective,2010-2015,1
곱씹어도,Verb,2016-2020,1
곳,Noun,2003-2009,67
곳,Noun,2010-2015,131
곳,Noun,2016-2020,166
곳곳,Noun,2010-2015,1
곳곳,Noun,2016-2020,1
곳도,Noun,2010-2015,4
곳도,Noun,2016-2020,1
공,Noun,2010-2015,3
공,Noun,2016-2020,2
공간,Noun,2003-2009,2
공간,Noun,2010-2015,10
공간,Noun,2016-2020,9
공감,Noun,2010-2015,1
공감,Noun,2016-2020,1
공격,Noun,2003-2009,1
공격,Noun,2010-2015,1
공과,Noun,2010-2015,1
공교,Noun,2016-2020,2
공기,Noun,2003-2009,1
공기,Noun,2010-2015,17
공기,Noun,2016-2020,29
공룡,Noun,2010-2015,1
공무원,Noun,2010-2015,1
공백,Noun,2010-2015,2
공부,Noun,2010-2015,6
공부,Noun,2016-2020,2
공손히,Adjective,2010-2015,1
공식,Noun,2003-2009,1
공식,Noun,2010-2015,2
공식,Noun,2016-2020,7
공원,Noun,2003-2009,1
공원,Noun,2010-2015,1
공유,Noun,2010-2015,1
공이,Noun,2010-2015,2
공이,Noun,2016-2020,2
공인,Noun,2010-2015,1
공장,Noun,2010-2015,1
공정하지,Adjective,2010-2015,2
공존,Noun,2003-2009,1
공존,Noun,2010-2015,1
공존,Noun,2016-2020,1
공주,Noun,2003-2009,13
공주,Noun,2010-2015,1
공터,Noun,2010-2015,1
공평하다니,Adjective,2010-2015,1
공평하지,Adjective,2010-2015,2
공평할,Adjective,2010-2015,1
공포,Noun,2010-2015,1
공허,Noun,2016-2020,1
공허하고,Adjective,2016-2020,1
공허한,Adjective,2010-2015,1
공허한,Adjective,2016-2020,3
공허함에,Adjective,2016-2020,1
공허함은,Adjective,2016-2020,1
공허함을,Adjective,2016-2020,1
공허해,Adjective,2016-2020,1
공황,Noun,2010-2015,1
과,Josa,2003-2009,70
과,Josa,2010-2015,111
과,Josa,2016-2020,152
과,Noun,2003-2009,2
과,Noun,2010-2015,9
과,Noun,2016-2020,6
과감,Noun,2010-2015,2
과감,Noun,2016-2020,5
과거,Noun,2003-2009,1
과거,Noun,2010-2015,7
과거,Noun,2016-2020,12
과녁,Noun,2010-2015,4
과녁,Noun,2016-2020,1
과는,Josa,2003-2009,1
과는,Josa,2010-2015,13
과는,Josa,2016-2020,13
과도,Josa,2003-2009,2
과도,Josa,2010-2015,2
과도,Josa,2016-2020,1
과도,Noun,2016-2020,1
과로사,Noun,2016-2020,1
과목,Noun,2010-2015,2
과분,Noun,2003-2009,1
과분,Noun,2010-2015,4
과속방지턱,Noun,2016-2020,1
과연,Noun,2003-2009,2
과연,Noun,2016-2020,2
과열,Noun,2010-2015,1
과음,Noun,2016-2020,2
과의,Josa,2003-2009,2
과의,Josa,2010-2015,3
과의,Josa,2016-2020,2
과일,Noun,2010-2015,1
과장할,Adjective,2016-2020,2
과정,Noun,2016-2020,1
과제,Noun,2010-2015,1
관,Noun,2003-2009,1
관,Noun,2010-2015,2
관,Noun,2016-2020,3
관객,Noun,2003-2009,1
관객,Noun,2010-2015,1
관객,Noun,2016-2020,2
관계,Noun,2003-2009,1
관계,Noun,2010-2015,2
관계,Noun,2016-2020,3
관대해,Adjective,2010-2015,1
관둘,Noun,2016-2020,1
관람차,Noun,2016-2020,1
관리,Noun,2010-2015,9
관리,Noun,2016-2020,3
관심,Noun,2003-2009,14
관심,Noun,2010-2015,22
관심,Noun,2016-2020,23
관심사,Noun,2010-2015,1
관심사,Noun,2016-2020,1
관점,Noun,2010-2015,1
관중,Noun,2003-2009,1
괄호,Noun,2016-2020,1
광견,Noun,2010-2015,1
광기,Noun,2010-2015,1
광기,Noun,2016-2020,1
광땡,Noun,2010-2015,1
광야,Noun,2010-2015,1
광주,Noun,2010-2015,6
광채,Noun,2016-2020,1
광활한,Adjective,2010-2015,2
괜,Noun,2003-2009,3
괜,Noun,2010-2015,4
괜,Noun,2016-2020,4
괜스레,Noun,2016-2020,2
괜시리,Noun,2010-2015,4
괜시리,Noun,2016-2020,3
괜찮것소,Adjective,2010-2015,1
괜찮겠죠,Adjective,2003-2009,3
괜찮나,Adjective,2010-2015,1
괜찮나요,Adjective,2003-2009,1
괜찮냐,Adjective,2003-2009,1
괜찮냐,Adjective,2010-2015,1
괜찮냐고,Adjective,2016-2020,1
괜찮니,Adjective,2010-2015,2
괜찮다고,Adjective,2010-2015,2
괜찮다고,Adjective,2016-2020,3
괜찮다는,Adjective,2016-2020,1
괜찮다니까,Adjective,2016-2020,1
괜찮다며,Adjective,2010-2015,1
괜찮다면,Adjective,2016-2020,1
괜찮아,Adjective,2003-2009,11
괜찮아,Adjective,2010-2015,59
괜찮아,Adjective,2016-2020,88
괜찮아요,Adjective,2003-2009,3
괜찮아요,Adjective,2010-2015,2
괜찮아요,Adjective,2016-2020,1
괜찮아져,Adjective,2003-2009,2
괜찮아진단,Adjective,2016-2020,1
괜찮아질,Adjective,2010-2015,3
괜찮아질,Adjective,2016-2020,1
괜찮았던,Adjective,2010-2015,1
괜찮어,Adjective,2003-2009,1
괜찮으니까,Adjective,2016-2020,7
괜찮은,Adjective,2003-2009,3
괜찮은,Adjective,2010-2015,8
괜찮은,Adjective,2016-2020,6
괜찮은가,Adjective,2016-2020,1
괜찮은데,Adjective,2010-2015,1
괜찮은지,Adjective,2016-2020,2
괜찮을,Adjective,2003-2009,1
괜찮을,Adjective,2010-2015,1
괜찮을,Adjective,2016-2020,8
괜찮을까,Adjective,2010-2015,1
괜찮음,Adjective,2016-2020,1
괜찮잖니,Adjective,2010-2015,1
괜찮지,Adjective,2016-2020,3
괜찮지만,Adjective,2016-2020,1
괜히,Adverb,2003-2009,4
괜히,Adverb,2010-2015,26
괜히,Adverb,2016-2020,22
괴로우나,Adjective,2010-2015,1
괴로운,Adjective,2010-2015,1
괴로운,Adjective,2016-2020,1
괴로울,Adjective,2003-2009,1
괴로울,Adjective,2016-2020,1
괴로워,Adjective,2010-2015,1
괴로워,Adjective,2016-2020,1
괴롭게,Adjective,2003-2009,1
괴롭게,Adjective,2010-2015,1
괴롭게,Adjective,2016-2020,1
괴롭다면,Adjective,2010-2015,1
괴롭지도,Adjective,2010-2015,1
괴롭혀,Verb,2003-2009,1
괴롭혀,Verb,2010-2015,3
괴롭혀,Verb,2016-2020,1
괴롭혀와,Verb,2016-2020,1
괴롭혔던,Verb,2010-2015,1
괴롭혔을까,Verb,2016-2020,1
괴롭히는,Verb,2016-2020,2
괴롭히는데,Verb,2003-2009,1
괴롭히는데,Verb,2010-2015,1
괴롭히니,Verb,2010-2015,1
괴롭히던,Verb,2010-2015,1
괴롭히잖아,Verb,2010-2015,4
괴롭히지마,Verb,2010-2015,2
괴롭히지만,Verb,2016-2020,3
괴롭힌,Verb,2010-2015,1
괴롭힌,Verb,2016-2020,1
괴롭힐,Verb,2003-2009,1
괴물,Noun,2003-2009,1
괴물,Noun,2010-2015,2
괴물,Noun,2016-2020,2
괴성,Noun,2010-2015,1
굉음,Noun,2003-2009,2
굉장히,Adjective,2010-2015,1
교,Noun,2010-2015,2
교감,Noun,2010-2015,1
교감,Noun,2016-2020,3
교과서,Noun,2010-2015,1
교만,Noun,2016-2020,1
교복,Noun,2003-2009,1
교복,Noun,2010-2015,3
교복,Noun,2016-2020,2
교육,Noun,2010-2015,1
교집합,Noun,2010-2015,1
교체,Noun,2010-2015,1
교통카드,Noun,2016-2020,1
교활한,Adjective,2016-2020,1
구,Modifier,2010-2015,1
구,Modifier,2016-2020,1
구,Noun,2003-2009,1
구,Noun,2010-2015,11
구,Noun,2016-2020,18
구가,Noun,2010-2015,1
구걸,Noun,2003-2009,1
구겨,Verb,2003-2009,1
구겨,Verb,2016-2020,1
구겨지고,Verb,2016-2020,2
구겨진,Verb,2003-2009,5
구겨진,Verb,2010-2015,2
구나,Noun,2010-2015,2
구녕,Noun,2010-2015,2
구동,Noun,2010-2015,1
구두,Noun,2010-2015,4
구두,Noun,2016-2020,2
구르네,Verb,2016-2020,2
구르라면,Verb,2010-2015,1
구르지,Verb,2010-2015,1
구름,Noun,2003-2009,16
구름,Noun,2010-2015,18
구름,Noun,2016-2020,42
구리겠네,Adjective,2016-2020,1
구린,Adjective,2016-2020,1
구멍,Noun,2016-2020,1
구박,Noun,2003-2009,1
구분,Noun,2003-2009,2
구분,Noun,2010-2015,1
구분,Noun,2016-2020,1
구비,Noun,2010-2015,2
구석,Noun,2010-2015,8
구석,Noun,2016-2020,5
구석구석,Noun,2003-2009,1
구석구석,Noun,2016-2020,1
구설수,Noun,2010-2015,1
구속,Noun,2003-2009,3
구속,Noun,2010-2015,1
구수하고,Adjective,2010-2015,1
구수하지,Adjective,2010-2015,1
구식,Noun,2010-2015,4
구심,Noun,2016-2020,1
구애,Noun,2010-2015,1
구역,Noun,2016-2020,2
구완,Noun,2010-2015,1
구원,Noun,2003-2009,2
구원,Noun,2016-2020,7
구원투수,Noun,2010-2015,1
구월,Noun,2010-2015,1
구입,Noun,2010-2015,1
구절,Noun,2010-2015,1
구차하게,Adjective,2010-2015,1
구차하게,Adjective,2016-2020,1
구차해,Adjective,2010-2015,1
구차해,Adjective,2016-2020,1
구해,Noun,2010-2015,1
구해,Noun,2016-2020,1
국가,Noun,2010-2015,1
국어사전,Noun,2016-2020,1
군,Suffix,2003-2009,3
군,Suffix,2010-2015,3
군,Suffix,2016-2020,14
군것질,Noun,2010-2015,1
군대,Noun,2010-2015,2
굳건,Adjective,2016-2020,1
굳게,Adjective,2003-2009,1
굳게,Adjective,2010-2015,5
굳게,Adjective,2016-2020,2
굳고,Adjective,2016-2020,2
굳어,Adjective,2003-2009,4
굳어,Adjective,2010-2015,7
굳어,Adjective,2016-2020,2
굳어있던,Adjective,2016-2020,1
굳어져,Verb,2010-2015,1
굳어져,Verb,2016-2020,2
굳은,Adjective,2016-2020,3
굳이,Noun,2003-2009,2
굳이,Noun,2010-2015,2
굳이,Noun,2016-2020,17
굴,Noun,2003-2009,1
굴,Noun,2010-2015,1
굴,Noun,2016-2020,2
굴까,Adjective,2010-2015,1
굴던,Adjective,2003-2009,1
굴던,Adjective,2016-2020,1
굴뚝,Noun,2003-2009,1
굴러,Verb,2010-2015,1
굴러,Verb,2016-2020,1
굴러내려,Verb,2010-2015,1
굴레,Noun,2016-2020,1
굴려,Adjective,2003-2009,1
굴려,Adjective,2010-2015,1
굴려,Adjective,2016-2020,2
굴려,Noun,2010-2015,1
굴리지,Adjective,2003-2009,1
굴어,Adjective,2016-2020,1
굴어도,Adjective,2010-2015,1
굴어도,Adjective,2016-2020,3
굴었어,Adjective,2016-2020,1
굴지,Noun,2010-2015,3
굴지,Noun,2016-2020,2
굵은,Adjective,2016-2020,1
굶주린,Verb,2003-2009,3
굶주린,Verb,2016-2020,1
굽,Noun,2010-2015,1
굽이,Noun,2010-2015,1
굿,Noun,2010-2015,1
굿나잇,Noun,2010-2015,1
굿모닝,Noun,2010-2015,1
궁,Noun,2003-2009,1
궁금,Noun,2010-2015,1
궁금증,Noun,2016-2020,1
궁금하대,Adjective,2010-2015,1
궁금하면,Adjective,2016-2020,1
궁금하지,Adjective,2016-2020,1
궁금한,Adjective,2010-2015,3
궁금한,Adjective,2016-2020,1
궁금한데,Adjective,2003-2009,1
궁금해,Adjective,2003-2009,2
궁금해,Adjective,2010-2015,19
궁금해,Adjective,2016-2020,21
궁금해서,Adjective,2003-2009,1
궁금해서,Adjective,2010-2015,1
궁금해서,Adjective,2016-2020,3
궁금해요,Adjective,2010-2015,1
궁금해져,Adjective,2010-2015,4
궁금해져,Adjective,2016-2020,2
궁금해지니까,Adjective,2010-2015,1
궁금해지잖아,Adjective,2016-2020,1
궁금해하는,Adjective,2010-2015,1
궁금해하지,Adjective,2010-2015,1
궁금했어,Adjective,2016-2020,2
궁디,Noun,2010-2015,1
궁합,Noun,2010-2015,4
궁합,Noun,2016-2020,1
권,Noun,2016-2020,1
권,Suffix,2010-2015,1
권력,Noun,2010-2015,1
권리,Noun,2003-2009,1
권리,Noun,2010-2015,1
궤도,Noun,2003-2009,1
궤도,Noun,2010-2015,2
궤도,Noun,2016-2020,1
귀,Modifier,2010-2015,3
귀,Modifier,2016-2020,2
귀,Noun,2003-2009,8
귀,Noun,2010-2015,27
귀,Noun,2016-2020,28
귀가,Noun,2010-2015,1
귀가,Noun,2016-2020,2
귀걸이,Noun,2003-2009,4
귀신,Noun,2010-2015,1
귀여운,Adjective,2003-2009,2
귀여운,Adjective,2010-2015,1
귀여운,Adjective,2016-2020,1
귀여워,Adjective,2010-2015,2
귀여워,Adjective,2016-2020,4
귀여워서,Adjective,2003-2009,1
귀여워서,Adjective,2010-2015,2
귀여워하겠지,Adjective,2003-2009,1
귀염,Noun,2010-2015,1
귀엽게,Adjective,2003-2009,1
귀엽게,Adjective,2016-2020,1
귀엽다고,Adjective,2010-2015,1
귀엽대,Adjective,2016-2020,1
귀엽지,Adjective,2016-2020,2
귀요미,Noun,2010-2015,1
귀찮게,Adjective,2003-2009,1
귀찮게,Adjective,2016-2020,6
귀찮나요,Adjective,2010-2015,1
귀찮다고,Adjective,2003-2009,1
귀찮다는,Adjective,2016-2020,1
귀찮은,Adjective,2016-2020,1
귀찮죠,Adjective,2010-2015,3
귀퉁이,Noun,2010-2015,1
귀하게,Adjective,2003-2009,2
귓가,Noun,2003-2009,1
귓가,Noun,2010-2015,15
귓가,Noun,2016-2020,22
귓속,Noun,2010-2015,1
귓속,Noun,2016-2020,4
귓속말,Noun,2016-2020,1
규,Noun,2010-2015,1
규모,Noun,2010-2015,3
규율,Noun,2016-2020,1
규칙,Noun,2010-2015,4
규현,Noun,2010-2015,8
그,Determiner,2003-2009,51
그,Determiner,2010-2015,31
그,Determiner,2016-2020,41
그,Modifier,2016-2020,1
그,Noun,2003-2009,431
그,Noun,2010-2015,666
그,Noun,2016-2020,620
그거,Noun,2003-2009,5
그거,Noun,2010-2015,13
그거,Noun,2016-2020,5
그건,Adverb,2003-2009,14
