형태소,품사,작사가,카운트
급히,Adjective,조윤경,1
기,Modifier,KENZIE,1
기,Modifier,PDOGG,9
기,Modifier,조윤경,1
기,Noun,KENZIE,4
기,Noun,PDOGG,2
기,Noun,TEDDY,1
기,Noun,조윤경,2
기계,Noun,PDOGG,1
기계로,Noun,PDOGG,1
기꺼이,Adverb,PDOGG,1
기나긴,Verb,KENZIE,1
기나긴,Verb,TEDDY,5
기다려,Verb,KENZIE,1
기다려,Verb,PDOGG,2
기다려,Verb,TEDDY,3
기다려,Verb,조윤경,8
기다려도,Verb,TEDDY,1
기다려야,Verb,PDOGG,2
기다려줘요,Verb,KENZIE,1
기다렸던,Verb,TEDDY,1
기다렸어,Verb,KENZIE,1
기다렸지,Verb,KENZIE,1
기다리게,Verb,조윤경,1
기다리고,Verb,KENZIE,2
기다리고,Verb,TEDDY,2
기다리고,Verb,조윤경,3
기다리는,Verb,TEDDY,2
기다리는,Verb,조윤경,3
기다리는데,Verb,PDOGG,1
기다리며,Verb,조윤경,1
기다리면,Verb,PDOGG,1
기다린,Verb,KENZIE,3
기다린,Verb,TEDDY,2
기다린,Verb,조윤경,1
기다릴,Verb,KENZIE,1
기다릴,Verb,TEDDY,1
기다릴게,Verb,KENZIE,2
기다릴테니,Verb,조윤경,1
기다림,Noun,PDOGG,1
기다림,Noun,TEDDY,2
기대,Noun,KENZIE,3
기대,Noun,PDOGG,1
기대,Noun,TEDDY,2
기대,Noun,조윤경,7
기대고,Verb,KENZIE,1
기대고,Verb,조윤경,2
기대도,Verb,PDOGG,4
기대어,Verb,조윤경,1
기대하던,Adjective,PDOGG,1
기대해도,Adjective,조윤경,1
기대했던,Adjective,PDOGG,1
기댄,Verb,TEDDY,1
기댄,Verb,조윤경,1
기댈,Verb,TEDDY,2
기도,Noun,KENZIE,6
기도,Noun,PDOGG,3
기도,Noun,조윤경,1
기록,Noun,PDOGG,1
기류,Noun,PDOGG,1
기를,Verb,PDOGG,2
기를,Verb,TEDDY,2
기를,Verb,조윤경,1
기름,Noun,PDOGG,3
기름,Noun,TEDDY,1
기립박수,Noun,PDOGG,1
기막힌,Adjective,TEDDY,2
기만,Noun,TEDDY,2
기묘했던,Adjective,KENZIE,1
기범,Noun,KENZIE,4
기분,Noun,KENZIE,16
기분,Noun,PDOGG,9
기분,Noun,TEDDY,5
기분,Noun,조윤경,17
기쁘네,Adjective,PDOGG,1
기쁜,Adjective,PDOGG,3
기쁠텐데,Adjective,KENZIE,1
기쁨,Noun,KENZIE,1
기쁨,Noun,PDOGG,2
기쁨,Noun,TEDDY,1
기사,Noun,KENZIE,1
기사,Noun,조윤경,1
기선,Noun,KENZIE,1
기선,Noun,PDOGG,2
기약,Noun,PDOGG,2
기어,Noun,PDOGG,2
기어가는,Verb,PDOGG,1
기억,Noun,KENZIE,6
기억,Noun,PDOGG,27
기억,Noun,TEDDY,21
기억,Noun,조윤경,22
기억나,Verb,PDOGG,1
기억나는,Verb,PDOGG,1
기염,Noun,PDOGG,1
기운,Noun,KENZIE,2
기울여,Verb,KENZIE,1
기울여,Verb,PDOGG,2
기자,Noun,PDOGG,1
기적,Noun,KENZIE,2
기적,Noun,PDOGG,4
기적,Noun,TEDDY,4
기적처럼,Noun,조윤경,1
기준,Noun,PDOGG,1
기침,Noun,PDOGG,2
기타,Noun,KENZIE,1
기해,Noun,KENZIE,1
기회,Noun,KENZIE,2
기회,Noun,PDOGG,2
기회,Noun,조윤경,2
기횐,Noun,조윤경,1
기횔,Noun,KENZIE,1
긴,Verb,KENZIE,8
긴,Verb,PDOGG,5
긴,Verb,조윤경,14
긴긴,Modifier,KENZIE,1
긴데,Verb,TEDDY,1
긴장,Noun,KENZIE,2
긴장,Noun,PDOGG,5
긴장,Noun,TEDDY,2
긴장,Noun,조윤경,1
긴지,Noun,KENZIE,1
길,Noun,KENZIE,13
길,Noun,PDOGG,43
길,Noun,TEDDY,3
길,Noun,조윤경,24
길가,Noun,PDOGG,1
길겠지,Adjective,TEDDY,1
길고,Adjective,KENZIE,1
길고,Adjective,PDOGG,1
길고,Adjective,TEDDY,1
길까,Verb,PDOGG,1
길도,Adjective,PDOGG,2
길들여,Verb,KENZIE,1
길들여가길,Verb,조윤경,1
길들여져,Verb,TEDDY,4
길들여졌어,Verb,TEDDY,1
길들여줘,Verb,KENZIE,1
길들여진,Verb,TEDDY,1
길면,Adjective,TEDDY,1
길어,Adjective,KENZIE,1
길어,Adjective,PDOGG,2
길어진,Verb,조윤경,1
길었던,Adjective,KENZIE,1
길었지,Adjective,PDOGG,1
길은,Adjective,KENZIE,3
길은,Adjective,조윤경,1
길이,Noun,KENZIE,1
길이,Noun,PDOGG,9
길이,Noun,조윤경,3
길치,Verb,TEDDY,1
김남준,Noun,PDOGG,2
김정은,Noun,PDOGG,1
깃발,Noun,KENZIE,3
깃털,Noun,PDOGG,2
깊게,Adjective,KENZIE,1
깊게,Adjective,조윤경,1
깊고,Adjective,KENZIE,1
깊고,Adjective,조윤경,1
깊숙이,Adverb,KENZIE,4
깊숙이,Adverb,PDOGG,1
깊숙이,Adverb,조윤경,1
깊어,Adjective,PDOGG,1
깊어져,Adjective,KENZIE,1
깊어져,Adjective,조윤경,1
깊어지기,Adjective,TEDDY,1
깊어지는데,Adjective,KENZIE,2
깊어지지만,Adjective,KENZIE,1
깊어진,Adjective,조윤경,2
깊었어,Adjective,조윤경,1
깊은,Adjective,KENZIE,3
깊은,Adjective,PDOGG,2
깊은,Adjective,TEDDY,3
깊은,Adjective,조윤경,5
깊이,Noun,KENZIE,2
깊이,Noun,PDOGG,2
깊이,Noun,TEDDY,4
깊이,Noun,조윤경,8
까,Verb,KENZIE,2
까,Verb,PDOGG,5
까기,Verb,PDOGG,1
까까,Verb,PDOGG,1
까내리지,Verb,PDOGG,1
까놓고,Verb,PDOGG,1
까딱,Noun,조윤경,1
까딱까딱,Adverb,조윤경,1
까만,Adjective,KENZIE,7
까만,Adjective,PDOGG,3
까만,Adjective,TEDDY,2
까만,Adjective,조윤경,1
까만색,Noun,PDOGG,1
까맣게,Adjective,KENZIE,5
까맣게,Adjective,PDOGG,2
까먹었니,Verb,TEDDY,1
까먹은,Verb,PDOGG,1
까지,Josa,KENZIE,20
까지,Josa,PDOGG,51
까지,Josa,TEDDY,48
까지,Josa,조윤경,31
까지가,Josa,TEDDY,2
까지나,Josa,KENZIE,2
까지는,Josa,PDOGG,2
까지도,Josa,KENZIE,1
까지도,Josa,PDOGG,2
까지라고,Josa,KENZIE,1
까지만,Josa,TEDDY,2
까지만,Josa,조윤경,1
까진,Josa,PDOGG,1
까진,Josa,조윤경,2
깔깔,Noun,PDOGG,2
깔끔한,Adjective,TEDDY,1
깔렸어,Verb,TEDDY,4
깔리고,Verb,PDOGG,1
깔린,Verb,PDOGG,1
깔면,Verb,TEDDY,1
깔음,Verb,TEDDY,1
깜깜,Noun,PDOGG,6
깜깜,Noun,TEDDY,2
깜빡,Noun,PDOGG,3
깜빡일,Verb,조윤경,1
깜짝,Noun,KENZIE,1
깜짝,Noun,PDOGG,9
깜짝,Noun,조윤경,4
깜짝깜짝,Adverb,조윤경,1
깡통,Noun,TEDDY,2
깨,Noun,PDOGG,6
깨,Noun,조윤경,3
깨고,Verb,PDOGG,1
깨고,Verb,TEDDY,4
깨달,Noun,TEDDY,1
깨달,Noun,조윤경,1
깨무는,Verb,조윤경,1
깨문,Verb,KENZIE,1
깨물면,Verb,KENZIE,4
깨물어주고,Verb,PDOGG,1
깨부숴,Verb,PDOGG,1
깨어나,Verb,TEDDY,1
깨어나고,Verb,PDOGG,1
깨우고,Verb,조윤경,1
깨우는,Verb,TEDDY,1
깨우는,Verb,조윤경,1
깨우던,Verb,조윤경,1
깨우며,Verb,조윤경,1
깨우자,Verb,TEDDY,1
깨워,Verb,KENZIE,4
깨워,Verb,PDOGG,1
깨워,Verb,조윤경,3
깨워내,Verb,PDOGG,1
깨워줘,Verb,KENZIE,3
깨워줘서,Verb,PDOGG,1
깨워줘야지,Verb,PDOGG,1
깨져,Verb,KENZIE,1
깨줘,Verb,조윤경,1
깨줘서,Verb,PDOGG,1
깨지,Verb,KENZIE,1
