형태소,품사,작사가,카운트
"
",Foreign,KENZIE,2
!,Punctuation,KENZIE,151
!,Punctuation,PDOGG,169
!,Punctuation,TEDDY,35
!,Punctuation,조윤경,36
!!,Punctuation,KENZIE,3
!!,Punctuation,PDOGG,9
!!!!,Punctuation,PDOGG,3
!!!!!,Punctuation,PDOGG,1
"!""",Punctuation,PDOGG,1
!',Punctuation,PDOGG,1
!),Punctuation,KENZIE,33
!),Punctuation,PDOGG,97
!),Punctuation,조윤경,6
"""",Punctuation,PDOGG,1
"""",Punctuation,조윤경,10
$,Punctuation,PDOGG,2
&,Punctuation,KENZIE,19
&,Punctuation,PDOGG,11
&,Punctuation,TEDDY,4
&,Punctuation,조윤경,3
',Punctuation,KENZIE,176
',Punctuation,PDOGG,447
',Punctuation,TEDDY,153
',Punctuation,조윤경,205
(,Punctuation,KENZIE,219
(,Punctuation,PDOGG,447
(,Punctuation,TEDDY,61
(,Punctuation,조윤경,211
(&),Punctuation,조윤경,1
([,Punctuation,KENZIE,12
),Punctuation,KENZIE,187
),Punctuation,PDOGG,321
),Punctuation,TEDDY,57
),Punctuation,조윤경,199
"),",Punctuation,PDOGG,3
*,Punctuation,KENZIE,43
*,Punctuation,TEDDY,7
*,Punctuation,조윤경,29
**,Punctuation,KENZIE,18
**,Punctuation,TEDDY,1
**,Punctuation,조윤경,17
***,Punctuation,KENZIE,3
***,Punctuation,조윤경,2
****,Punctuation,조윤경,2
*[,Punctuation,KENZIE,5
+,Punctuation,KENZIE,6
+,Punctuation,PDOGG,1
",",Punctuation,KENZIE,366
",",Punctuation,PDOGG,490
",",Punctuation,TEDDY,32
",",Punctuation,조윤경,220
",)",Punctuation,TEDDY,3
",,",Punctuation,TEDDY,2
-,Punctuation,KENZIE,234
-,Punctuation,PDOGG,63
-,Punctuation,TEDDY,50
-,Punctuation,조윤경,206
--,Punctuation,조윤경,6
-----,Punctuation,TEDDY,1
.,Punctuation,KENZIE,87
.,Punctuation,PDOGG,140
.,Punctuation,TEDDY,100
.,Punctuation,조윤경,60
.),Punctuation,조윤경,2
..,Punctuation,KENZIE,10
..,Punctuation,PDOGG,20
..,Punctuation,TEDDY,2
..,Punctuation,조윤경,3
...,Punctuation,KENZIE,7
...,Punctuation,PDOGG,8
...,Punctuation,조윤경,3
.....,Punctuation,KENZIE,2
0,Number,TEDDY,1
062-518,Number,PDOGG,1
1,Number,KENZIE,6
1,Number,PDOGG,11
1,Number,TEDDY,20
1,Number,조윤경,3
1.2,Number,TEDDY,1
10,Number,PDOGG,4
10,Number,조윤경,27
10만원,Number,PDOGG,1
119,Number,PDOGG,1
12시,Number,PDOGG,2
151,Number,KENZIE,2
16,Number,PDOGG,1
17,Number,PDOGG,1
181,Number,PDOGG,1
1년,Number,KENZIE,1
1년,Number,PDOGG,4
1등,Number,PDOGG,2
1분,Number,조윤경,1
1초,Number,조윤경,1
2,Number,KENZIE,12
2,Number,PDOGG,20
2,Number,TEDDY,46
2,Number,조윤경,7
2-2,Number,TEDDY,3
20,Number,PDOGG,4
2001,Number,PDOGG,1
2006년,Number,PDOGG,2
2007년,Number,PDOGG,1
2010,Number,TEDDY,1
2010년,Number,PDOGG,1
21,Number,PDOGG,7
21,Number,TEDDY,1
24,Number,PDOGG,3
24,Number,TEDDY,1
24/7,Number,KENZIE,10
24/7,Number,PDOGG,2
248,Number,PDOGG,2
24시간,Number,PDOGG,3
2년,Number,PDOGG,1
3,Number,KENZIE,8
3,Number,PDOGG,2
3,Number,TEDDY,3
3,Number,조윤경,4
3-6,Number,조윤경,13
3.4,Number,TEDDY,1
365,Number,TEDDY,1
3년,Number,PDOGG,2
3분,Number,KENZIE,1
3분,Number,TEDDY,1
3시,Number,KENZIE,1
4,Number,KENZIE,4
4,Number,PDOGG,3
4,Number,TEDDY,11
4,Number,조윤경,1
400,Number,PDOGG,1
4분,Number,KENZIE,1
4분,Number,PDOGG,1
5,Number,KENZIE,2
5,Number,PDOGG,2
5,Number,TEDDY,7
5,Number,조윤경,13
50,Number,KENZIE,1
5천,Number,PDOGG,1
5천만,Number,PDOGG,1
6,Number,PDOGG,2
6,Number,조윤경,1
6년,Number,PDOGG,1
7,Number,KENZIE,4
7,Number,PDOGG,2
7,Number,TEDDY,2
75.5,Number,KENZIE,2
7년,Number,PDOGG,3
7시,Number,PDOGG,1
7천,Number,PDOGG,3
8,Number,KENZIE,2
8월,Number,PDOGG,1
9,Number,KENZIE,1
9,Number,PDOGG,2
90,Number,TEDDY,1
99,Number,PDOGG,1
9회,Number,PDOGG,1
9회,Number,TEDDY,1
:,Punctuation,KENZIE,3
:,Punctuation,PDOGG,131
<,Punctuation,조윤경,1
=,Punctuation,PDOGG,2
>,Punctuation,조윤경,1
?,Punctuation,KENZIE,79
?,Punctuation,PDOGG,177
?,Punctuation,TEDDY,36
?,Punctuation,조윤경,28
?),Punctuation,KENZIE,5
?),Punctuation,PDOGG,9
?),Punctuation,TEDDY,1
?),Punctuation,조윤경,4
A,Alpha,KENZIE,42
A,Alpha,PDOGG,3
A,Alpha,TEDDY,25
A,Alpha,조윤경,13
ABC,Alpha,KENZIE,4
ALRIGHT,Alpha,TEDDY,1
AND,Alpha,TEDDY,1
AP,Alpha,PDOGG,2
ARMY,Alpha,PDOGG,2
AYE,Alpha,TEDDY,3
Aah,Alpha,PDOGG,1
About,Alpha,TEDDY,1
Acting,Alpha,TEDDY,1
Action,Alpha,KENZIE,1
Action,Alpha,조윤경,1
Ah,Alpha,KENZIE,32
Ah,Alpha,PDOGG,4
Ah,Alpha,조윤경,16
Ahhh,Alpha,PDOGG,1
Ahora,Alpha,KENZIE,1
Ain,Alpha,TEDDY,5
Alexander,Alpha,PDOGG,1
All,Alpha,KENZIE,21
All,Alpha,PDOGG,19
All,Alpha,TEDDY,7
All,Alpha,조윤경,23
Alright,Alpha,KENZIE,8
Alright,Alpha,PDOGG,2
Alright,Alpha,TEDDY,8
Always,Alpha,PDOGG,1
Always,Alpha,조윤경,5
Am,Alpha,PDOGG,2
An,Alpha,PDOGG,1
And,Alpha,KENZIE,4
And,Alpha,PDOGG,27
And,Alpha,TEDDY,28
And,Alpha,조윤경,1
Andante,Alpha,조윤경,1
Anpan,Alpha,PDOGG,5
Anpanman,Alpha,PDOGG,18
Appeal,Alpha,조윤경,1
Are,Alpha,조윤경,13
Artist,Alpha,PDOGG,1
Asian,Alpha,PDOGG,1
Atta,Alpha,KENZIE,3
Attaboy,Alpha,KENZIE,3
Awake,Alpha,조윤경,1
Away,Alpha,TEDDY,7
Awouuuu,Alpha,KENZIE,6
Ay,Alpha,PDOGG,8
Ay,Alpha,조윤경,6
Aye,Alpha,TEDDY,1
Aye,Alpha,조윤경,1
Ayo,Alpha,PDOGG,3
Ayy,Alpha,PDOGG,5
B,Alpha,PDOGG,1
B,Alpha,TEDDY,2
B,Alpha,조윤경,31
BA,Alpha,TEDDY,6
BAAAM,Alpha,조윤경,1
BABE,Alpha,TEDDY,10
BABY,Alpha,TEDDY,23
BACK,Alpha,TEDDY,3
BANG,Alpha,PDOGG,4
BANG,Alpha,TEDDY,24
BEEN,Alpha,TEDDY,1
BETTER,Alpha,TEDDY,2
BLACKPINK,Alpha,TEDDY,6
BODY,Alpha,TEDDY,2
BOOM,Alpha,TEDDY,12
BOOM,Alpha,조윤경,5
BOOMBAYAH,Alpha,TEDDY,8
BOOMSHAKALAKA,Alpha,TEDDY,12
BREATH,Alpha,PDOGG,1
BRING,Alpha,TEDDY,1
BRUTA,Alpha,조윤경,1
BTS,Alpha,PDOGG,4
BUT,Alpha,PDOGG,1
BUT,Alpha,TEDDY,6
BYE,Alpha,TEDDY,7
Ba,Alpha,KENZIE,13
Babe,Alpha,조윤경,9
Baby,Alpha,KENZIE,48
Baby,Alpha,PDOGG,16
Baby,Alpha,TEDDY,30
Baby,Alpha,조윤경,40
Back,Alpha,TEDDY,3
Back,Alpha,조윤경,17
Bacon,Alpha,TEDDY,1
Bad,Alpha,KENZIE,1
Bad,Alpha,조윤경,14
Badda,Alpha,TEDDY,1
Bake,Alpha,KENZIE,1
Ball,Alpha,PDOGG,1
Bam,Alpha,TEDDY,2
Bang,Alpha,KENZIE,1
Bang,Alpha,PDOGG,16
Bass,Alpha,PDOGG,1
Bass,Alpha,조윤경,1
Batman,Alpha,PDOGG,1
Be,Alpha,PDOGG,1
Be,Alpha,조윤경,3
Beat,Alpha,PDOGG,1
Beat,Alpha,조윤경,12
Beautiful,Alpha,조윤경,3
Beauty,Alpha,KENZIE,2
Because,Alpha,KENZIE,2
Because,Alpha,PDOGG,1
Because,Alpha,조윤경,1
Been,Alpha,TEDDY,1
Before,Alpha,TEDDY,1
Believer,Alpha,KENZIE,7
Best,Alpha,KENZIE,1
Bet,Alpha,KENZIE,2
Better,Alpha,TEDDY,2
Beyonce,Alpha,TEDDY,1
Big,Alpha,PDOGG,1
Bigbang,Alpha,TEDDY,1
Bighit,Alpha,PDOGG,1
Billboard,Alpha,PDOGG,1
Billie,Alpha,TEDDY,1
Billion,Alpha,TEDDY,1
Billis,Alpha,TEDDY,1
Black,Alpha,PDOGG,1
Black,Alpha,TEDDY,3
Black,Alpha,조윤경,5
Blacked,Alpha,TEDDY,1
Blacken,Alpha,KENZIE,1
Blanc,Alpha,TEDDY,1
Bless,Alpha,PDOGG,1
Blindin,Alpha,조윤경,7
Bling,Alpha,TEDDY,1
Blow,Alpha,TEDDY,1
Blow,Alpha,조윤경,5
Blue,Alpha,TEDDY,3
Bob,Alpha,KENZIE,9
Body,Alpha,TEDDY,2
Bonnie,Alpha,TEDDY,1
Boo,Alpha,KENZIE,31
Booh,Alpha,KENZIE,1
Boom,Alpha,KENZIE,4
Boom,Alpha,조윤경,1
Boomerang,Alpha,조윤경,8
Born,Alpha,TEDDY,1
Bow,Alpha,PDOGG,8
Boy,Alpha,KENZIE,6
Boy,Alpha,PDOGG,1
Boy,Alpha,TEDDY,11
Boy,Alpha,조윤경,13
Boys,Alpha,TEDDY,2
Brand,Alpha,KENZIE,1
Brazil,Alpha,PDOGG,2
Break,Alpha,PDOGG,3
Brew,Alpha,KENZIE,1
Bright,Alpha,PDOGG,1
Bring,Alpha,PDOGG,2
Bring,Alpha,TEDDY,1
Brrr,Alpha,TEDDY,1
Brrrr,Alpha,TEDDY,1
Bulletproof,Alpha,PDOGG,4
Bum,Alpha,KENZIE,4
Bump,Alpha,조윤경,10
Burn,Alpha,PDOGG,6
Business,Alpha,PDOGG,1
But,Alpha,PDOGG,34
But,Alpha,TEDDY,17
Butterflies,Alpha,조윤경,7
Butterfly,Alpha,PDOGG,10
Bye,Alpha,KENZIE,1
Bye,Alpha,PDOGG,1
Bye,Alpha,TEDDY,2
C,Alpha,KENZIE,3
C,Alpha,PDOGG,1
CAN,Alpha,TEDDY,3
CATCH,Alpha,TEDDY,1
CHAMPAGNE,Alpha,TEDDY,1
CHIC,Alpha,TEDDY,1
CL,Alpha,PDOGG,1
CL,Alpha,TEDDY,17
COME,Alpha,TEDDY,2
COMING,Alpha,TEDDY,1
COOL,Alpha,PDOGG,1
CRY,Alpha,TEDDY,9
Cake,Alpha,조윤경,5
Calder,Alpha,TEDDY,1
Cali,Alpha,PDOGG,1
Call,Alpha,KENZIE,7
Call,Alpha,TEDDY,2
Call,Alpha,조윤경,33
Camera,Alpha,조윤경,1
Campfire,Alpha,조윤경,13
Can,Alpha,KENZIE,9
Can,Alpha,PDOGG,19
Can,Alpha,TEDDY,26
Can,Alpha,조윤경,1
Caramel,Alpha,PDOGG,4
Carrot,Alpha,조윤경,1
Casa,Alpha,PDOGG,6
Catch,Alpha,TEDDY,2
Caucasian,Alpha,PDOGG,1
Caught,Alpha,PDOGG,6
Cause,Alpha,KENZIE,14
Cause,Alpha,PDOGG,6
Cause,Alpha,TEDDY,6
Champagne,Alpha,조윤경,4
Chance,Alpha,KENZIE,2
Chanel,Alpha,PDOGG,1
Charge,Alpha,TEDDY,1
Chasing,Alpha,조윤경,5
Chateau,Alpha,조윤경,5
Check,Alpha,KENZIE,1
Checkin,Alpha,KENZIE,2
Chillin,Alpha,KENZIE,1
Chillin,Alpha,TEDDY,1
Chocolate,Alpha,KENZIE,2
Chocolate,Alpha,PDOGG,1
Chronic,Alpha,PDOGG,1
Circus,Alpha,조윤경,1
City,Alpha,PDOGG,6
Clack,Alpha,TEDDY,1
Click,Alpha,PDOGG,8
Click,Alpha,TEDDY,1
Climax,Alpha,TEDDY,1
Clock,Alpha,PDOGG,5
Close,Alpha,조윤경,7
Closer,Alpha,조윤경,3
Clyde,Alpha,TEDDY,1
Co,Alpha,KENZIE,10
Coldest,Alpha,TEDDY,2
Cole,Alpha,PDOGG,1
Come,Alpha,KENZIE,19
Come,Alpha,PDOGG,6
Come,Alpha,TEDDY,25
Come,Alpha,조윤경,7
Converse,Alpha,PDOGG,1
Cool,Alpha,KENZIE,24
Cool,Alpha,TEDDY,1
Cool,Alpha,조윤경,3
Cra,Alpha,조윤경,1
Crawl,Alpha,PDOGG,1
Crazy,Alpha,KENZIE,4
Crazy,Alpha,PDOGG,1
Crazy,Alpha,조윤경,3
Cream,Alpha,조윤경,13
Creepin,Alpha,KENZIE,1
Creeping,Alpha,KENZIE,3
Cross,Alpha,조윤경,2
Crush,Alpha,KENZIE,4
Cry,Alpha,조윤경,1
Cut,Alpha,조윤경,3
Cuz,Alpha,PDOGG,10
Cuz,Alpha,TEDDY,16
D,Alpha,PDOGG,6
D,Alpha,TEDDY,11
DADI,Alpha,TEDDY,1
DAN,Alpha,TEDDY,40
DANCE,Alpha,TEDDY,16
DANGEROUS,Alpha,TEDDY,1
DIDN,Alpha,TEDDY,2
DIG,Alpha,TEDDY,1
DJ,Alpha,TEDDY,2
DNA,Alpha,PDOGG,5
DO,Alpha,TEDDY,2
DOG,Alpha,TEDDY,1
DOLLAR,Alpha,PDOGG,10
DON,Alpha,TEDDY,5
DOWN,Alpha,TEDDY,2
Da,Alpha,TEDDY,1
Dah,Alpha,KENZIE,3
Damn,Alpha,PDOGG,2
Dance,Alpha,KENZIE,3
Dance,Alpha,TEDDY,1
Dance,Alpha,조윤경,2
Dancing,Alpha,조윤경,1
Danger,Alpha,KENZIE,4
Danger,Alpha,PDOGG,2
Dangerous,Alpha,TEDDY,4
Dangerous,Alpha,조윤경,6
Day,Alpha,KENZIE,4
Day,Alpha,조윤경,1
Dear,Alpha,PDOGG,2
Deeper,Alpha,PDOGG,1
Dejavu,Alpha,조윤경,1
Depp,Alpha,TEDDY,1
Deserve,Alpha,PDOGG,1
Destiny,Alpha,KENZIE,1
Devil,Alpha,KENZIE,4
Diamond,Alpha,TEDDY,1
Diamonds,Alpha,TEDDY,2
Did,Alpha,KENZIE,1
Did,Alpha,PDOGG,4
Didn,Alpha,TEDDY,4
Dingy,Alpha,KENZIE,6
Disco,Alpha,TEDDY,1
Diving,Alpha,KENZIE,3
Do,Alpha,KENZIE,3
Do,Alpha,PDOGG,48
Do,Alpha,TEDDY,13
Doctor,Alpha,KENZIE,5
Doggystyle,Alpha,PDOGG,1
Don,Alpha,KENZIE,18
Don,Alpha,PDOGG,24
Don,Alpha,TEDDY,26
Don,Alpha,조윤경,1
Dont,Alpha,TEDDY,6
Doo,Alpha,KENZIE,4
Down,Alpha,KENZIE,2
Dracula,Alpha,조윤경,9
Dream,Alpha,PDOGG,3
Dress,Alpha,조윤경,31
Dresses,Alpha,조윤경,1
Drink,Alpha,PDOGG,2
Drip,Alpha,TEDDY,1
Drive,Alpha,조윤경,1
Drop,Alpha,PDOGG,9
Dynamite,Alpha,TEDDY,2
E,Alpha,KENZIE,6
E,Alpha,TEDDY,78
E,Alpha,조윤경,2
ENDING,Alpha,TEDDY,2
EXO,Alpha,KENZIE,2
EXTRA,Alpha,PDOGG,2
Eh,Alpha,KENZIE,4
Eh,Alpha,PDOGG,12
Eh,Alpha,TEDDY,2
El,Alpha,PDOGG,14
Eldorado,Alpha,TEDDY,1
Eminem,Alpha,PDOGG,1
Emotion,Alpha,KENZIE,3
Ending,Alpha,KENZIE,2
Endless,Alpha,조윤경,2
English,Alpha,PDOGG,1
Enjoy,Alpha,KENZIE,1
Eric,Alpha,PDOGG,1
Eris,Alpha,PDOGG,1
Errbody,Alpha,PDOGG,2
Errday,Alpha,PDOGG,1
Esto,Alpha,KENZIE,1
Eternally,Alpha,조윤경,1
European,Alpha,PDOGG,1
Even,Alpha,PDOGG,1
Even,Alpha,TEDDY,2
Every,Alpha,TEDDY,5
Every,Alpha,조윤경,1
Everybody,Alpha,PDOGG,31
Everybody,Alpha,조윤경,2
Everyday,Alpha,PDOGG,7
Everyday,Alpha,TEDDY,1
Everything,Alpha,KENZIE,1
Everywhere,Alpha,PDOGG,2
Excuse,Alpha,KENZIE,5
Exodus,Alpha,조윤경,11
Ey,Alpha,조윤경,1
Eyes,Alpha,TEDDY,1
F,Alpha,PDOGG,3
F,Alpha,TEDDY,4
FAN,Alpha,KENZIE,1
FANTASTIC,Alpha,TEDDY,10
FASTER,Alpha,TEDDY,2
FIRE,Alpha,TEDDY,1
FREE,Alpha,PDOGG,1
FUERZA,Alpha,조윤경,1
Face,Alpha,PDOGG,1
Fake,Alpha,PDOGG,21
Falling,Alpha,KENZIE,3
Falling,Alpha,TEDDY,10
Fantasies,Alpha,KENZIE,1
Fantasy,Alpha,KENZIE,1
Favorite,Alpha,조윤경,1
Feel,Alpha,KENZIE,1
Feel,Alpha,PDOGG,2
Feel,Alpha,조윤경,2
Feelin,Alpha,TEDDY,1
Feeling,Alpha,PDOGG,1
Feeling,Alpha,조윤경,1
Feelings,Alpha,KENZIE,2
Feels,Alpha,TEDDY,1
Feels,Alpha,조윤경,1
Female,Alpha,TEDDY,1
Fera,Alpha,TEDDY,1
Festival,Alpha,KENZIE,3
Fever,Alpha,KENZIE,1
Fianc,Alpha,TEDDY,1
Fight,Alpha,PDOGG,1
Film,Alpha,PDOGG,4
Find,Alpha,PDOGG,5
Find,Alpha,조윤경,16
Finito,Alpha,조윤경,3
Finna,Alpha,PDOGG,3
Fire,Alpha,KENZIE,7
Fire,Alpha,PDOGG,13
Fire,Alpha,TEDDY,4
Fire,Alpha,조윤경,1
First,Alpha,KENZIE,1
Flash,Alpha,조윤경,1
Flower,Alpha,조윤경,1
Fly,Alpha,KENZIE,3
Fly,Alpha,PDOGG,10
Fly,Alpha,조윤경,2
Follow,Alpha,KENZIE,1
Follow,Alpha,TEDDY,2
For,Alpha,KENZIE,7
For,Alpha,PDOGG,6
For,Alpha,TEDDY,4
For,Alpha,조윤경,2
Forever,Alpha,KENZIE,9
Forever,Alpha,TEDDY,11
Forever,Alpha,조윤경,3
Forget,Alpha,KENZIE,1
Found,Alpha,PDOGG,4
Four,Alpha,TEDDY,1
Foxy,Alpha,TEDDY,1
Francis,Alpha,TEDDY,1
Free,Alpha,조윤경,1
Freestyle,Alpha,KENZIE,1
Friend,Alpha,PDOGG,1
Friends,Alpha,PDOGG,1
From,Alpha,TEDDY,1
Front,Alpha,TEDDY,1
Fue,Alpha,KENZIE,1
G,Alpha,TEDDY,4
GAMBLE,Alpha,TEDDY,1
GD,Alpha,TEDDY,1
GO,Alpha,TEDDY,4
GOD,Alpha,TEDDY,1
GOING,Alpha,TEDDY,1
GON,Alpha,TEDDY,1
GOOD,Alpha,TEDDY,1
GOTTA,Alpha,TEDDY,1
Game,Alpha,TEDDY,1
Game,Alpha,조윤경,1
Gang,Alpha,PDOGG,1
Gentleman,Alpha,조윤경,1
Get,Alpha,KENZIE,1
Get,Alpha,PDOGG,2
Get,Alpha,TEDDY,5
Get,Alpha,조윤경,13
Gimme,Alpha,PDOGG,6
Gimme,Alpha,조윤경,11
Girl,Alpha,KENZIE,37
Girl,Alpha,PDOGG,3
Girl,Alpha,TEDDY,12
Girl,Alpha,조윤경,17
Girls,Alpha,TEDDY,4
Girls,Alpha,조윤경,13
Give,Alpha,KENZIE,30
Give,Alpha,TEDDY,1
Giving,Alpha,KENZIE,3
Gloria,Alpha,KENZIE,1
Go,Alpha,KENZIE,24
Go,Alpha,PDOGG,30
Go,Alpha,TEDDY,18
Go,Alpha,조윤경,3
God,Alpha,KENZIE,1
Goddess,Alpha,KENZIE,1
Good,Alpha,KENZIE,3
Good,Alpha,PDOGG,7
Good,Alpha,TEDDY,1
Good,Alpha,조윤경,2
Goodbye,Alpha,조윤경,3
Got,Alpha,KENZIE,10
Got,Alpha,PDOGG,2
Got,Alpha,TEDDY,4
Got,Alpha,조윤경,6
Gotta,Alpha,KENZIE,1
Gotta,Alpha,TEDDY,3
Gotta,Alpha,조윤경,2
Groove,Alpha,TEDDY,1
Guess,Alpha,TEDDY,1
H,Alpha,TEDDY,7
H,Alpha,조윤경,2
HAPPY,Alpha,TEDDY,14
HERE,Alpha,TEDDY,1
HEY,Alpha,TEDDY,2
HIPHOP,Alpha,PDOGG,2
HOLD,Alpha,TEDDY,1
HOME,Alpha,TEDDY,4
HOPE,Alpha,TEDDY,6
HOW,Alpha,TEDDY,1
HUH,Alpha,TEDDY,2
Ha,Alpha,KENZIE,8
Ha,Alpha,PDOGG,1
Ha,Alpha,TEDDY,2
Ha,Alpha,조윤경,2
Had,Alpha,TEDDY,1
Hah,Alpha,조윤경,1
Hands,Alpha,TEDDY,1
Happy,Alpha,PDOGG,1
Hate,Alpha,TEDDY,8
Hater,Alpha,PDOGG,2
Haters,Alpha,PDOGG,1
He,Alpha,KENZIE,19
He,Alpha,TEDDY,2
Heads,Alpha,조윤경,6
Hear,Alpha,TEDDY,1
Heart,Alpha,KENZIE,1
Heart,Alpha,조윤경,16
Heat,Alpha,조윤경,2
Heels,Alpha,조윤경,1
Hello,Alpha,PDOGG,9
Hello,Alpha,조윤경,2
Her,Alpha,KENZIE,4
Here,Alpha,TEDDY,1
Here,Alpha,조윤경,3
Hey,Alpha,KENZIE,41
Hey,Alpha,PDOGG,54
Hey,Alpha,TEDDY,21
Hey,Alpha,조윤경,29
Hi,Alpha,KENZIE,2
Hi,Alpha,PDOGG,1
Hi,Alpha,TEDDY,1
High,Alpha,PDOGG,1
High,Alpha,TEDDY,1
Higher,Alpha,KENZIE,8
Higher,Alpha,PDOGG,4
Higher,Alpha,조윤경,2
Hip,Alpha,PDOGG,15
Hiphop,Alpha,PDOGG,1
His,Alpha,TEDDY,1
Hit,Alpha,KENZIE,1
Hit,Alpha,TEDDY,6
Hit,Alpha,조윤경,3
Ho,Alpha,KENZIE,4
Ho,Alpha,조윤경,1
Hold,Alpha,KENZIE,2
Hold,Alpha,TEDDY,2
Hold,Alpha,조윤경,2
Holiday,Alpha,조윤경,1
Holy,Alpha,PDOGG,1
Home,Alpha,PDOGG,6
Home,Alpha,TEDDY,3
Honey,Alpha,KENZIE,4
Honey,Alpha,조윤경,2
Honeydew,Alpha,KENZIE,3
Hong,Alpha,PDOGG,2
Hook,Alpha,TEDDY,4
Hop,Alpha,PDOGG,15
Hope,Alpha,PDOGG,1
Hope,Alpha,TEDDY,3
Hot,Alpha,KENZIE,25
How,Alpha,KENZIE,4
How,Alpha,PDOGG,17
How,Alpha,TEDDY,14
Hu,Alpha,KENZIE,1
Huff,Alpha,KENZIE,6
Huh,Alpha,KENZIE,1
Hurry,Alpha,TEDDY,4
Hush,Alpha,조윤경,1
I,Alpha,KENZIE,176
I,Alpha,PDOGG,431
I,Alpha,TEDDY,491
I,Alpha,조윤경,113
IF,Alpha,TEDDY,1
ILL,Alpha,TEDDY,1
IN,Alpha,TEDDY,1
IT,Alpha,TEDDY,6
Ice,Alpha,TEDDY,20
Ice,Alpha,조윤경,13
If,Alpha,KENZIE,3
If,Alpha,PDOGG,14
If,Alpha,TEDDY,14
Illmatic,Alpha,PDOGG,1
Im,Alpha,PDOGG,2
Im,Alpha,TEDDY,1
Im,Alpha,조윤경,1
Imma,Alpha,KENZIE,4
Imma,Alpha,PDOGG,2
Imma,Alpha,TEDDY,2
In,Alpha,PDOGG,11
In,Alpha,TEDDY,3
In,Alpha,조윤경,1
Inside,Alpha,PDOGG,1
Is,Alpha,PDOGG,4
It,Alpha,KENZIE,11
It,Alpha,PDOGG,43
It,Alpha,TEDDY,14
It,Alpha,조윤경,46
Italy,Alpha,PDOGG,2
Its,Alpha,TEDDY,1
JENNIE,Alpha,TEDDY,14
JESUS,Alpha,TEDDY,1
JISOO,Alpha,TEDDY,6
JUST,Alpha,TEDDY,4
Jane,Alpha,TEDDY,1
Jay,Alpha,PDOGG,1
Jennie,Alpha,TEDDY,1
Johnny,Alpha,TEDDY,1
Jordan,Alpha,PDOGG,1
Jump,Alpha,PDOGG,4
Jump,Alpha,TEDDY,2
Jump,Alpha,조윤경,1
Jumpin,Alpha,KENZIE,8
Jung,Alpha,PDOGG,1
Junior,Alpha,KENZIE,2
Just,Alpha,KENZIE,50
Just,Alpha,PDOGG,5
Just,Alpha,TEDDY,13
Just,Alpha,조윤경,15
K,Alpha,KENZIE,2
K,Alpha,TEDDY,1
KIA,Alpha,PDOGG,1
KILL,Alpha,TEDDY,4
KNOW,Alpha,TEDDY,1
KRS,Alpha,PDOGG,1
Kanye,Alpha,PDOGG,1
Karma,Alpha,TEDDY,5
Keep,Alpha,PDOGG,4
Keep,Alpha,TEDDY,4
Keep,Alpha,조윤경,14
Kendrick,Alpha,PDOGG,1
Key,Alpha,조윤경,1
Kick,Alpha,PDOGG,1
Kill,Alpha,TEDDY,1
Killin,Alpha,PDOGG,4
Kinda,Alpha,KENZIE,4
King,Alpha,조윤경,3
Kiss,Alpha,KENZIE,9
Kiss,Alpha,PDOGG,2
Kiss,Alpha,조윤경,1
Kitchen,Alpha,TEDDY,1
Knock,Alpha,KENZIE,6
Know,Alpha,PDOGG,3
Know,Alpha,TEDDY,3
Kong,Alpha,PDOGG,2
Kook,Alpha,PDOGG,1
Kpop,Alpha,PDOGG,1
L,Alpha,TEDDY,10
L,Alpha,조윤경,9
LADI,Alpha,TEDDY,1
LAMBO,Alpha,TEDDY,1
LET,Alpha,TEDDY,5
LIKE,Alpha,TEDDY,13
LISA,Alpha,TEDDY,10
LOSER,Alpha,TEDDY,12
LOVE,Alpha,TEDDY,11
La,Alpha,KENZIE,2
La,Alpha,PDOGG,41
La,Alpha,TEDDY,1
La,Alpha,조윤경,86
Ladies,Alpha,조윤경,1
Lady,Alpha,KENZIE,14
Lady,Alpha,조윤경,8
Lala,Alpha,KENZIE,2
Lalala,Alpha,PDOGG,3
Lay,Alpha,조윤경,1
Leggo,Alpha,PDOGG,4
Lemme,Alpha,PDOGG,8
Let,Alpha,KENZIE,24
Let,Alpha,PDOGG,62
Let,Alpha,TEDDY,11
Let,Alpha,조윤경,14
Lets,Alpha,TEDDY,8
Lie,Alpha,PDOGG,3
Light,Alpha,KENZIE,17
Light,Alpha,조윤경,2
Like,Alpha,KENZIE,3
Like,Alpha,PDOGG,6
Like,Alpha,TEDDY,6
Like,Alpha,조윤경,7
Line,Alpha,조윤경,1
Lips,Alpha,조윤경,1
Lipstick,Alpha,조윤경,3
Lisa,Alpha,TEDDY,4
Listen,Alpha,KENZIE,1
Listen,Alpha,PDOGG,2
Listen,Alpha,조윤경,5
Little,Alpha,KENZIE,2
Live,Alpha,PDOGG,3
Lllipop,Alpha,TEDDY,1
Lo,Alpha,KENZIE,32
Lo,Alpha,조윤경,4
Lodi,Alpha,PDOGG,2
Lolli,Alpha,TEDDY,30
Lollipop,Alpha,TEDDY,36
London,Alpha,PDOGG,2
Lonely,Alpha,PDOGG,6
Long,Alpha,TEDDY,1
Look,Alpha,KENZIE,9
Look,Alpha,PDOGG,3
Look,Alpha,TEDDY,18
Looking,Alpha,PDOGG,2
Looking,Alpha,TEDDY,2
Lose,Alpha,조윤경,1
Lost,Alpha,PDOGG,17
Lotto,Alpha,조윤경,6
